COURSE NAME & NUMBER,ESTIMATED LOAD
MUST 115,18
WRIT 101W,774
PHSX 220,280
MUSI 195,66
ARTZ 109RA,59
CULA 102,22
CULA 105,22
BIOB 105CS,9
CSCI 127,158
LIT 201,27
EDU 101US,186
ENSC 110,81
EIND 101,11
STAT 216Q,54
 ,70
EELE 101,84
FILM 100IH,49
HORT 105,9
ERTH 101IN,54
M 161Q,152
FRCH 101,3
PHL 1xx,3
M 121Q,46
MART 122,59
M 105Q,179
ARTZ ,49
HTR 107,10
MUSI 105,33
MUSI 106,33
CHMY 194,47
ANSC 100,19
PSCI 230D,36
M Q,18
BIOB 100IN,48
FILM 112,49
PHSX 240,31
BGEN 104US,470
ECNS 101IS,610
SOCI 101IS,80
PSCI 240,36
M 151Q,83
PSYX 100IS,146
ARTH 200IA,59
ECHM 100,31
GPHY 284,35
EMEC 103,230
EDU 223IS,27
ARTZ 105RA,59
NASX 105D,5
EMEC 100,230
DDSN 131,65
ACT 160,54
MUSE 134,10
PHOT 213,49
LARC 120,9
FRCH 102D,3
CHMY 141,631
ARCH 151RA,9
BIOB 110CS,9
BIOB 170IN,387
ETME 100,42
CHMY 122IN,113
MUSE 123,10
HSTR 101IH,25
BIOH 185,59
CHMY 144,54
MUSI 140,33
CHMY 142,631
M 165Q,76
CHMY 143,54
MUSI 141,33
PSCI 210IS,36
CLS 101US,163
M 132,53
CORE ,32
EDU 222IS,58
NRSM 102,120
NRSM 101,120
HSTA 101IH,25
COMX 111US,274
 US,41
ANTY 101D,13
US 101US,50
CORE Q,37
HORT 131,9
CHTH 210,35
M 172Q,54
EFIN 101,7
CORE US/W,42
LIT 285D,27
MUSI 136,33
BIOB 160,128
ECIV 101,72
EBIO 100,11
MUSI 135,33
ELEC ,1932
LS 101US,21
PSCI 201,36
EDEC 160,5
FILM 101IH,49
PHOT 113RA,49
MUST 125,18
BIOB 318,9
M 171Q,754
HSTR 102IH,10
CHMY 121IN,113
HSTR 282CS,25
GPHY 141D,79
AGED 140US,186
HDFS 138,12
HSTA 160D,25
HDFS 101IS,150
