Curriculum,Agricultural Business - Agribusiness Management Concentration,,,,,,,,,
Degree Plan,Agricultural Business - Agribusiness Management Concentration,,,,,,,,,
Institution,Montana State University,,,,,,,,,
Degree Type,BS,,,,,,,,,
System Type,semester,,,,,,,,,
CIP,1.0101,,,,,,,,,
Courses,,,,,,,,,,
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Term
1,Introduction to Animal Science,ANSC,100,,,,3,,,1
2,Economic Way of Thinking,ECNS,101IS,,,,3,,,1
3,Leadership Dev For Agriculture,AGED,140US,,,,3,,,1
4,College Writing I,WRIT,101W,,,,3,,,1
5,University Core and General Electives,ELEC,,,,,3,,,1
6,Principles of Macroeconomics,ECNS,202,2,,,3,,,2
7,Introduction to Plant Biology,BIOB,110CS,,,,3,,,2
8,Introduction to General Chemistry,CHMY,121IN,,,,3,,,2
9,Introduction to General Chemistry Lab,CHMY,122IN,,,8,1,,,2
10,Survey of Calculus,M,161Q,,,,4,,,2
11,Microeconomics,ECNS,204IS,2,,,3,,,3
12,Principles of Financial Acct,ACTG,201,,,,3,,,3
13,Introduction to Statistics,STAT,216Q,,,,3,,,3
14,Soils,ENSC,245IN,,,,3,,,3
15,University Core and General Electives,ELEC,,,,,3,,,3
16,Principles of Managerial Accounting,ACTG,202,12,,,3,,,4
17,Directed Major Electives on Communications,ELEC,,,,,3,,,4
18,Microcomputers in Agriculture,AGED,105,,,,3,,,4
19,Directed Major Electives: Social Sciences,ELEC,,,,,3,,,4
20,University Core and General Electives,ELEC,,,,,3,,,4
21,Economics of Ag Marketing,AGBE,321,11,,,3,,,5
22,Ag Finance and Credit Analysis,AGBE,345,11,,,3,,,5
23,Intermediate Micro with Calc,ECNS,301,10;11,,,3,,,5
24,Managerial Economics,ECNS,309,10;11,,,3,,,5
25,University Core and General Electives,ELEC,,,,,3,,,5
26,Intermediate Macro with Calc,ECNS,303,6;10;11,,,3,,,6
27,Farm and Ranch Management,AGBE,341,22;24,,,3,,,6
28,Directed Major Elective. Choose one of the following:,ELEC,,,,,3,,,6
29,Directed Major Elective: Social Sciences3,ELEC,,,,,3,,,6
30,University Core and General Electives,ELEC,,,,,3,,,6
31,Economics of Ag Policy,AGBE,451RS,23,,,3,,,7
32,Agricultural Law,AGBE,337,,,,3,,,7
33,University Core and General Electives,ELEC,,,,,9,,,7
34,Money and Banking,ECNS,313,6,,,3,,,8
35,Advanced Ag Marketing,AGBE,421,21,,,3,,,8
36,University Core and General Electives,ELEC,,,,,9,,,8
Additional Courses,,,,,,,,,,
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Term
