Curriculum,Technology Education - Industrial Technology Option,,,,,,,,,
Degree Plan,Technology Education - Industrial Technology Option,,,,,,,,,
Institution,Montana State University,,,,,,,,,
Degree Type,BS,,,,,,,,,
System Type,semester,,,,,,,,,
CIP,13.1319,,,,,,,,,
Courses,,,,,,,,,,
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Term
1,Materials and Processes,TE,207,,,,4,,,1
2,Leadership Dev For Agriculture,AGED,140US,,,,3,,,1
3,Precalculus,M,151Q,,,,3,,,1
4,College Writing I,WRIT,101W,,,,3,,,1
5,Introduction to General Engineering,EGEN,105,,,,2,,,1
6,Introduction to CAD,DDSN,114,,,,3,,,2
7,Calculus for Technology I,M,165Q,3,,,3,,,2
8,Introduction to General Chemistry,CHMY,121IN,,,,3,,,2
9,Introduction to General Chemistry Lab,CHMY,122IN,,,8,1,,,2
10,Welding Theory I,WLDG,110,,,,1,,,2
11,Welding Theory I Practical,WLDG,111,,,,3,,,2
12,College Physics I,PHSX,205,,,,4,,,3
13,Technology and Society,TE,250CS,,,,3,,,3
14,Blueprint Reading and Welding Symbols,WLDG,117,,,,2,,,3
15,Remote and Autonomous Aircraft Systems,TE,332,,,,3,,,3
16,"University Core (A, D, H, or S)",CORE,A/D/H/S,,,,3,,,3
17,Alternative Power/ Energy Tech,TE,330,1,,,3,,,4
18,Intro to GIS Science & Cartog,GPHY,284,,,,3,,,4
19,Introduction to Electrical Fundamentals,EELE,101,3,,,3,,,4
20,Elective,ELEC,,,,,3,,,4
21,"University Core (A, D, H, or S)",CORE,A/D/H/S,,,,3,,,4
22,"University Core (A, D, H, or S)",CORE,A/D/H/S,,,,3,,,5
23,Electives,ELEC,,,,,3,,,5
24,Biometry,BIOB,318,,,,3,,,5
25,Management and Organization,BMGT,335,4,,,3,,,5
26,GPS Fund/App in Mapping,GPHY,357,18,,,3,,,5
27,Electives,ELEC,,,,,6,,,6
28,"University Core (A, D, H, or S)",CORE,A/D/H/S,,,,3,,,6
29,Electrical and Power Systems Operation,AGED,315,,,,3,,,6
30,Computer Aided and Industrial Machining and Manufacturing,TE,410,6,,,4,,,6
31,Multidisciplinary Engineering Design,EGEN,310R,,,,3,,,7
32,Electives,ELEC,,,,,6,,,7
33,Communicating Agriculture,AGED,312R,,,,3,,,7
34,Construction Technology,AGED,333,,,,3,,,7
35,Internship,TE,498,,,,12,,,8
36,Elective,ELEC,,,,,3,,,8
Additional Courses,,,,,,,,,,
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Term
