Curriculum,Animal Science - Equine Science Option,,,,,,,,,
Degree Plan,Animal Science - Equine Science Option,,,,,,,,,
Institution,Montana State University,,,,,,,,,
Degree Type,BS,,,,,,,,,
System Type,semester,,,,,,,,,
CIP,1.0901,,,,,,,,,
Courses,,,,,,,,,,
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Term
1,Natural Resource Conservation,NRSM,101,,,,3,,,1
2,Montana Range Plants,NRSM,102,,,,1,,,1
3,Introduction to General Chemistry,CHMY,121IN,,,,3,,,1
4,Introduction to General Chemistry Lab,CHMY,122IN,,,3,1,,,1
5,Leadership Dev For Agriculture,AGED,140US,,,,3,,,1
6,Electives,ELEC,,,,,3,,,1
7,Introduction to Animal Science,ANSC,100,,,,3,,,2
8,Principles of Living Systems,BIOB,160,,,,4,,,2
9,Economic Way of Thinking,ECNS,101IS,,,,3,,,2
10,Applied Courses,ELEC,,,,,2,,,2
11,University Core and Electives,ELEC,,,,,3,,,2
12,Livestock Feeding,ANSC,202,7,,,3,,,3
13,Introduction to Statistics,STAT,216Q,,,,3,,,3
14,Equine Ethology: Understanding Horse Behavior,EQUS,206,7,,,3,,,3
15,Natural Resource Ecology,NRSM,240,1,,,3,,,3
16,Applied Courses,ELEC,,,,,2,,,3
17,University Core and Electives,ELEC,,,,,2,,,3
18,Livestock in Sustain Systems,ANSC,222,,,,3,,,4
19,Anatomy and Physiology of Domestic Animals - Lecture,ANSC,265,8,,,3,,,4
20,Anatomy and Physiology of Domestic Animals - Lab,ANSC,266,8,,,1,,,4
21,Small Pasture Management,NRSM,236,1;2;7,,,1,,,4
22,Introduction to Organic Chemistry and Biochemistry,CHMY,123,3,,,3,,,4
23,Introduction to Organic and Biochemistry Lab,HMY,124,,,22,1,,,4
24,Prof Business Communication,BMGT,205,5;11,,,3,,,4
25,Animal Nutrition,ANSC,320,12;19;20;23,,,3,,,5
26,Physiology of Animal Reproduction,ANSC,321,7;19;20;22,,,4,,,5
27,Equine Internship,EQUS,498,12;14,,,3,,,5
28,Applied Courses,ELEC,,,,,2,,,5
29,Econ and Business Electives,ELEC,,,,,3,,,5
30,Economics of Ag Business,AGBE,210IS,9,,,3,,,6
31,Principles of Animal Breeding and Genetics,ANSC,322,7;8;13,,,3,,,6
32,Disease of Domestic Livestock,ANSC,337,12;19;20,,,3,,,6
33,Equine Form to Function,EQUS,347,19;20,,,3,,,6
34,Econ and Business Electives,ELEC,,,,,3,,,6
35,Econ and Business Elective,ELEC,,,,,3,,,7
36,Equine Science Elective,ELEC,,,,,3,,,7
37,Electives,ELEC,,,,,5,,,7
38,Mgmt & Industry Electives,ELEC,,,,,4,,,7
39,Electives,ELEC,,,,,7,,,8
40,Equine Science Elective,ELEC,,,,,3,,,8
41,Mgmt & Industry Electives,ELEC,,,,,5,,,8
Additional Courses,,,,,,,,,,
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Term
