Curriculum,Ranching Systems,,,,,,,,,
Degree Plan,Ranching Systems,,,,,,,,,
Institution,Montana State University,,,,,,,,,
Degree Type,BS,,,,,,,,,
System Type,semester,,,,,,,,,
CIP,1.0104,,,,,,,,,
Courses,,,,,,,,,,
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Term
1,"Leadership Dev For Agriculture
or COMX 111US - Introduction to Public Speaking",AGED,140US,,,,3,,,1
2,Principles of Biological Diversity,BIOB,170IN,,,,4,,,1
3,Introduction to General Chemistry,CHMY,121IN,,,,3,,,1
4,Introduction to General Chemistry Lab,CHMY,122IN,,,3,1,,,1
5,Natural Resource Conservation,NRSM,101,,,,3,,,1
6,Montana Range Plants,NRSM,102,,,,1,,,1
7,Introduction to Animal Science,ANSC,100,,,,3,,,2
8,Principles of Living Systems,BIOB,160,,,,4,,,2
9,Economic Way of Thinking,ECNS,101IS,,,,3,,,2
10,College Writing I,WRIT,101W,,,,3,,,2
11,Principles of Financial Acct,ACTG,201,,,,3,,,3
12,Livestock Feeding,ANSC,202,7;16,,,3,,,3
13,Natural Resource Ecology,NRSM,240,5,,,3,,,3
14,Introduction to Organic Chemistry and Biochemistry,CHMY,123,3,,,3,,,3
15,Introduction to Organic and Biochemistry Lab,CHMY,124,3,,14,1,,,3
16,Introduction to Statistics,STAT,216Q,,,,3,,,3
17,Principles of Managerial Accounting,ACTG,202,11,,,3,,,4
18,Livestock Management - Beef I,ANSC,234,7,,,1,,,4
19,Anatomy and Physiology of Domestic Animals,ANSC,265,8,,,3,,,4
20,Anatomy and Physiology of Domestic Animals,ANSC,266,8,,19,1,,,4
21,Intro to Int'l Business,BGEN,242D,,,,3,,,4
22,Data Analytics I,BMIS,211,,,,3,,,4
23,Ranching Systems Livestock & Forage Internship,RS,398,5;6;12,,,1,,,4
24,Animal Nutrition,ANSC,320,12;14;19,,,3,,,5
25,Physiology of Animal Reproduction,ANSC,321,7;14;19,12,,4,,,5
26,Livestock Management & Human Resources in Ranching Systems,RS,306,23,,,1,,,5
27,Soils,ENSC,245IN,,,,3,,,5
28,IA or IH core,ELEC,,,,,3,,,5
29,Forage Management and Natural Resource Stewardship in Ranching Systems,RS,316,23,,,1,,,6
30,Identification of Seed Plants,BIOO,230,2,,,4,,,6
31,Principles of Animal Breeding and Genetics,ANSC,322,7;8;16,,,3,,,6
32,Disease of Domestic Livestock,ANSC,337,12;19,,,3,,,6
33,Economics of Ag Business,AGBE,210IS,9,,,3,,,6
34,Management and Organization,BMGT,335,10,,,3,,,6
35,Ranching Systems Finances and Planning Internship,RS,498,26;29,,,1,,,6
36,Beef Cattle Management,ANSC,434R,5;6;24;25;31,,,4,,,7
37,Negotiation/Dispute Resolution,BMGT,406,34,,,3,,,7
38,Forages,AGSC,342,,,,3,,,7
39,Finances and Decision Making in Ranching Systems,RS,406,35,,,1,,,7
40,IA/IH Core,ELEC,,,,,3,,,7
41,Grazing Ecology and Management,NRSM,353,6;13,,,3,,,8
42,Riparian Ecology & Management,NRSM,455,13;27,,,3,,,8
43,Wildlife Habitat Management,WILD,426,13,,,3,,,8
44,Range & Wildlife Policy and Planning,WILD,420,5,,,3,,,8
45,Systems Thinking for Ranches,RS,416,35,,,2,,,8
Additional Courses,,,,,,,,,,
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Term
