Curriculum, Sustainable Food and Bioenergy Systems - Sustainable Livestock Production Option,,,,,,,,,
Degree Plan, Sustainable Food and Bioenergy Systems - Sustainable Livestock Production Option,,,,,,,,,
Institution,Montana State University,,,,,,,,,
Degree Type,BS,,,,,,,,,
System Type,semester,,,,,,,,,
CIP,,,,,,,,,,
Courses,,,,,,,,,,
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Term
1,Introduction to Animal Science,ANSC,100,,,,3,,,1
2,Natural Resource Conservation,NRSM,101,,,,3,,,1
3,Montana Range Plants,NRSM,102,,,,1,,,1
4,Introduction to Sustainable Food and Bioenergy Systems,SFBS,146,,,,3,,,1
5,Principles of Living Systems,BIOB,160,,,,4,,,1
6,Introduction to General Chemistry ,CHMY,121IN,,,,3,,,1
7, Introduction to General Chemistry Lab,CHMY,122IN,,,6,1,,,1
8,Land Resourses and Environmental Sciences,ENSC,110,,,,3,,,1
9,Introduction to Plant Biology,BIOB,110CS,,,,3,,,1
10,College Writing I,WRIT,101W,,,,3,,,1
11,Introduction to Public Speaking,COMX,111US,,,,3,,,1
12,Livestock Feeding,ANSC,202,1,,,3,,,2
13,Livestock in Sustain Systems,ANSC,222,1,,,3,,,2
14,Introduction to Organic Chemistry and Biochemistry,CHMY,123,6,,,3,,,2
15, Introduction to Organic and Biochemistry Lab,CHMY,124,,,14,1,,,2
16,Basic Human Nutrition,NUTR,221CS,,,,3,,,2
17,Soils,ENSC,245IN,,,,3,,,2
18,Anatomy and Physiology of Domestic Animals - Lecture,ANSC,265,5,,,3,,,2
19,Anatomy and Physiology of Domestic Animals - Lab,ANSC,266,5,,18,1,,,2
20,Choose one ANSC course,ANSC,2xx,1,,,1,,,2
21,Prof Business Communication,BMGT,205,10;11,,,3,,,2
22,Economic Way of Thinking,ECNS,101IS,,,,3,,,2
23,Introduction to Statistics,STAT,216Q,,,,3,,,2
24,Economics of Ag Business,AGBE,210IS,8,,,3,,,3
25,Meat Science,ANSC,316,1;5;14,,,4,,,3
26,Energy and Sustainability,ECHM,205CS,,,,3,,,3
27,Choose one ANSC course,ANSC,3xx,,,,3,,,3
28,Choose one ANSC course,ANSC,3xx,,,,3,,,3
29,Principles of Macroeconomics,ECNS,202,22,,,3,,,3
30,Choose one AGBE course,AGBE,3xx,,,,3,,,3
31,Choose one AGSC course,AGSC,3xx,,,,3,,,3
32,Introduction to International Business,BGEN,242D,,,,3,,,3
33,University Core (IA or IH),,IA/IH,,,,3,,,3
34,Meat Processing,ANSC,416R,25,,,3,,,4
35,Internship,ANSC,498,12;13,,,3,,,4
36,Sheep Management,ANSC,432R,20;27;28,,,4,,,4
37,Nutrition and Society,NUTR,351,16,,,3,,,4
38,Sustainable Food Systems,SFBS,451R,16,,,3,,,4
39,Senior Thesis/Capstone,SFBS,499,4;44;45,,,3,,,4
40,Choose one ENSC course,ENSC,3xx,,,,3,,,4
41,Small Business and Entrepreneurship in Food and Health,SFBS,429,22,,,3,,,4
42,University Core and Electives (IA or IH),,IA/IH,,,,4,,,4
Additional Courses,,,,,,,,,,
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Term
44,Practicum: Towne's Harvest,SFBS,296,,,,2,,,3
45,Internship,SFBS,498,,,,2,,,3
