Curriculum,Environmental Sciences - Land Rehabilitation Option,,,,,,,,,
Degree Plan,Environmental Sciences - Land Rehabilitation Option,,,,,,,,,
Institution,Montana State University,,,,,,,,,
Degree Type,BS,,,,,,,,,
System Type,semester,,,,,,,,,
CIP,3.0104,,,,,,,,,
Courses,,,,,,,,,,
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Term
1,Land Resourses and Environmental Sciences,ENSC,110,,,,3,,,1
2,Principles of Biological Diversity,BIOB,170IN,,,,3,,,1
3,College Chemistry I,CHMY,141,,,,3,,,1
4,College Chemistry I Lab,CHMY,142,,,3,1,,,1
5,College Writing I,WRIT,101W,,,,3,,,1
6,Principles of Living Systems,BIOB,160,,,,4,,,2
7,College Chemistry II,CHMY,143,3,,,3,,,2
8,College Chemistry II Lab,CHMY,144,,,7,1,,,2
9,Survey of Calculus,M,161Q,,,,4,,,2
10,US Core,ELEC,,,,,3,,,2
11,Soils,ENSC,245IN,9,,,3,,,3
12,Intro to GIS Science & Cartog,GPHY,284,,,,3,,,3
13,College Physics I,PHSX,205,9,,,4,,,3
14,Biometry,BIOB,318,9,,,3,,,3
15,Univ. Core,ELEC,,,,,3,,,3
16,Identification of Seed Plants,BIOO,230,2,,,4,,,4
17,Role of Plants in the Environment,ENSC,210,6,,,3,,,4
18,Evolution for Env Scientists,ENSC,260,6,,,3,,,4
19,College Writing II (HONR 202IH),WRIT,201,5,,,3,,,4
20,Univ Core,ELEC,,,,,3,,,4
21,Environmental Biogeochemistry,ENSC,353,7;11,,,3,,,5
22,Watershed Hydrology,ENSC,444,9;11;13,,,3,,,5
23,Landscape Pedology,ENSC,454,11,,,3,,,5
24,General Ecology,BIOE,370,2;14,,,3,,,5
25,Directed Elective,ELEC,,,,,3,,,5
26,Soil & Envirnmntl Microbiology,BIOM,452,7;11,,,3,,,6
27,Soil Remediation,ENSC,460,11,,,3,,,6
28,Univ. Core,ELEC,,,,,6,,,6
29,Directed Elective,ELEC,,,,,3,,,6
30,Biodiversity Survey and Monitoring Methods,ENSC,410R,14;24,,,3,,,7
31,Weed Ecology and Management,ENSC,443,14,,,3,,,7
32,Stream Restoration Ecology,ENSC,448,2;24,,,3,,,7
33,Restoration Ecology,ENSC,461,2;24,,,3,,,7
34,LRES Capstone,ENSC,499R,,,,3,,,7
35,Computational Techniques Environmental Science,ENSC,464,2,,,3,,,8
36,Natural Resource Law,NRSM,430,19,,,3,,,8
37,Directed Elective,ELEC,,,,,9,,,8
Additional Courses,,,,,,,,,,
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Term
