Curriculum,Sustainable Food and Bioenergy Systems - Agroecology option,,,,,,,,,
Degree Plan,Sustainable Food and Bioenergy Systems - Agroecology option,,,,,,,,,
Institution,Montana State University,,,,,,,,,
Degree Type,BS,,,,,,,,,
System Type,semester,,,,,,,,,
CIP,30.3301,,,,,,,,,
Courses,,,,,,,,,,
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Term
1,Land Resourses and Environmental Sciences,ENSC,110,,,,3,,,1
2,Principles of Biological Diversity,BIOB,170IN,,,,4,,,1
3,College Algebra,M,121Q,,,,3,,,1
4,College Writing I,WRIT,101W,,,,3,,,1
5,Introduction to Plant Biology,BIOB,110CS,,,,3,,,2
6,College Chemistry I,CHMY,141,3,,,3,,,2
7,College Chemistry I Lab,CHMY,142,,,6,1,,,2
8,Introduction to Sustainable Food and Bioenergy Systems,SFBS,146,,,,3,,,2
9,Economic Way of Thinking,ECNS,101IS,,,,3,,,2
10,Univ. Seminar (US Core),ELEC,,,,,3,,,2
11,Principles of Living Systems,BIOB,160,6,,,4,,,3
12,College Chemistry II,CHMY,143,6,,,3,,,3
13,College Chemistry II Lab,CHMY,144,,,12,1,,,3
14,Soils,ENSC,245IN,3,,,3,,,3
15,Introduction to Statistics,STAT,216Q,3,,,3,,,3
16,Introduction to Organic Chemistry and Biochemistry,CHMY,123,12,,,3,,,4
17, Introduction to Organic and Biochemistry Lab,CHMY,124,,,16,1,,,4
18,Role of Plants in the Environment,ENSC,210,11,,,3,,,4
19,Intro to GIS Science & Cartog (Univ. Core),GPHY,284,,,,3,,,4
20,Univ. Core,ELEC,,,,,3,,,4
21,Internship,SFBS,298,,,,3,,,4
22,Environmental Biogeochemistry,ENSC,353,12;14,,,3,,,5
23,Natural Resource Ecology,NRSM,240,,,,3,,,5
24,Basic Human Nutrition,NUTR,221CS,,,,3,,,5
25,Univ. Core,ELEC,,,,,6,,,5
26,Food Fundamentals,NUTR,226,23,,,3,,,6
27,Field Crop Production,AGSC,341,14,,,3,,,6
28,Univ. Core,ELEC,,,,,3,,,6
29,Directed Elective,ELEC,,,,,3,,,6
30,Ethnobotany,SFBS,327,8,,,3,,,7
31,Nutrition and Society,NUTR,351,24,,,3,,,7
32,Small Business and Entrepreneurship in Food and Health,SFBS,429,9,,,3,,,7
33,Choose one AGSC course,AGSC,4xx,,,,3,,,7
34,Weed Ecology and Management,ENSC,443,3,,,3,,,7
35,Senior Thesis/Capstone,SFBS,499,8;20,,,3,,,7
36,Plant Ecology,BIOE,455,2;23,,,3,,,8
37,Internship,SFBS,498,,,,3,,,8
38,Directed Electives,ELEC,,,,,9,,,8
Additional Courses,,,,,,,,,,
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Term
