Curriculum,Biotechnology - Animal Systems Option,,,,,,,,,
Degree Plan,Biotechnology - Animal Systems Option,,,,,,,,,
Institution,Montana State University,,,,,,,,,
Degree Type,BS,,,,,,,,,
System Type,semester,,,,,,,,,
CIP,26.1201,,,,,,,,,
Courses,,,,,,,,,,
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Term
1,College Writing I,WRIT,101W,,,,3,,,1
2,Introduction to Biotechnology,BIOB,105CS,,,,3,,,1
3,Principles of Biological Diversity,BIOB,170IN,,,,4,,,1
4,College Chemistry I,CHMY,141,,,,3,,,1
5,College Chemistry I LAB,CHMY,142,,,4,1,,,1
6,Biometry,BIOB,318,,,,3,,,1
7,Principles of Living Systems,BIOB,160,4,,,4,,,2
8,College Chemistry II,CHMY,143,4,,,3,,,2
9,College Chemistry II  LAB,CHMY,144,,,8,1,,,2
10,Survey of Calculus,M,161Q,,,,4,,,2
11,University Core and Electives,ELEC,,,,,3,,,2
12,General Genetics,BIOB,375,7,,,3,,,3
13,Organic Chemistry I,CHMY,321,8,,,3,,,3
14,Organic Chemistry I LAB,CHMY,322,,,13,1,,,3
15,General Microbiology,BIOM,360,7,,,5,,,3
16,Organic Chemistry II,CHMY,323,13,,,3,,,4
17,Organic Chemistry II LAB,CHMY,324,,,16,1,,,4
18,Economic Way of Thinking,ECNS,101IS,,,,3,,,4
19,University Core and Electives,ELEC,,,,,6,,,4
20,Biochemistry,BCH,380,7;16,,,4,,,5
21,Biochemistry Lab,BCH,381,,,20,1,,,5
22,Research Methods in Immunology,BIOM,457R,15,,,4,,,5
23,University Core and Electives,ELEC,,,,,6,,,5
24,Medical Microbiology,BIOM,400,15,,,3,,,6
25,Research Mthds in Microbiology,BIOM,455R,15;20,,,4,,,6
26,Anatomy and Physiology of Domestic Animals ,ANSC,265,7,,,3,,,6
27,Anatomy and Physiology of Domestic Animals - Lab,ANSC,266,7,,26,1,,,6
28,University Core and Elective,ELEC,,,,,4,,,6
29,College Physics I,PHSX,205,,,,4,,,7
30,Introduction to Pharmacology,BIOH,445,26,,,3,,,7
31,Seminar/Workshop,BIOM,494,15,,,1,,,7
32,Biotech Internship,BIOM,498R,,,,4,,,7
33,University Core and Electives,ELEC,,,,,3,,,7
34,College Physics II,PHSX,207,29,,,4,,,8
35,Ethical Practice of Science,BIOB,424,15,,,3,,,8
36,Seminar/Workshop,BIOM,494,15,,,1,,,8
37,University Core and Electives,ELEC,,,,,7,,,8
38,University Core and Electives,ELEC,,,,,3,,,3
Additional Courses,,,,,,,,,,
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Term
