Curriculum,Biotechnology - Microbial Systems Option,,,,,,,,,
Degree Plan,Biotechnology - Microbial Systems Option,,,,,,,,,
Institution,Montana State University,,,,,,,,,
Degree Type,BS,,,,,,,,,
System Type,semester,,,,,,,,,
CIP,,,,,,,,,,
Courses,,,,,,,,,,
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Term
1,College Writing I,WRIT,101W,,,,3,,,1
2,Introduction to Biotechnology,BIOB,105CS,,,,3,,,1
3,Principles of Biological Diversity,BIOB,170IN,,,,4,,,1
4,College Chemistry I,CHMY,141,,,,3,,,1
5,College Chemistry I LAB,CHMY,142,,,4,1,,,1
6,Biometry,BIOB,318,,,,3,,,1
7,Principles of Living Systems,BIOB,160,4,,,4,,,2
8,College Chemistry II,CHMY,143,4,,,3,,,2
9,College Chemistry II  LAB,CHMY,144,,,8,1,,,2
10,Survey of Calculus,M,161Q,,,,4,,,2
11,University Core and Electives,ELEC,,,,,3,,,2
12,General Genetics,BIOB,375,7,,,3,,,3
13,Organic Chemistry I,CHMY,321,8,,,3,,,3
14,Organic Chemistry I LAB,CHMY,322,,,13,1,,,3
15,General Microbiology,BIOM,360,7,,,5,,,3
16,Organic Chemistry II,CHMY,323,13,,,3,,,4
17,Organic Chemistry II LAB,CHMY,324,,,16,1,,,4
18,Economic Way of Thinking,ECNS,101IS,,,,3,,,4
19,University Core and Electives,ELEC,,,,,6,,,4
20,Biochemistry,BCH,380,7;16,,,5,,,5
21,Biochemistry Lab,BCH,381,,,20,3,,,5
22,College Physics I,PHSX,205,,,,1,,,5
23,Immunology,BIOB,410,,13,,3,,,5
24,University Core and Electives,ELEC,,,,,3,,,5
25,College Physics II,PHSX,207,22,,,4,,,6
26,University Core and Electives,ELEC,,,,,11,,,6
27,Microbial Physiology,BIOM,450,15;20,,,3,,,7
28,Seminar/Workshop,BIOM,494,15,,,1,,,7
29,Undergraduate Research,BIOM,490R,,,,3,,,7
30,University Core and Electives,ELEC,,,,,8,,,7
31,Applied and Environmental Microbiology,BIOM,430,15,,,4,,,8
32,Soil & Envirnmntl Microbiology,BIOM,452,8;36,,,3,,,8
33,Microbial Genetics,BIOM,410,15;20,,,3,,,8
34,Seminar/Workshop,BIOM,494,15,,,1,,,8
35,University Core and Electives,ELEC,,,,,4,,,8
36,University Core and Electives,ELEC,,,,,3,,,3
Additional Courses,,,,,,,,,,
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Term
