Curriculum,Cell Biology and Neuroscience -Biomedical Sciences Optio,,,,,,,,,
Degree Plan,Cell Biology and Neuroscience -Biomedical Sciences Optio,,,,,,,,,
Institution,Montana State University,,,,,,,,,
Degree Type,BS,,,,,,,,,
System Type,semester,,,,,,,,,
CIP,,,,,,,,,,
Courses,,,,,,,,,,
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Term
1,Integrated Physiology I,BIOH,185,,,2,4,,,1
2,College Chemistry I,CHMY,141,,,,3,,,1
3,College Chemistry I Lab,CHMY,142,,,2,1,,,1
4,Introduction to Statistics,STAT,216Q,,,,3,,,1
5,College Writing I,WRIT,101W,,,,3,,,1
6,University Core and Electives,ELEC,,,,,1,,,1
7,Cellular and Molecular Biology,BIOB,260,2;4,,,4,,,2
8,College Chemistry II,CHMY,143,2,,,3,,,2
9,College Chemistry II Lab,CHMY,144,,,8,1,,,2
10,Survey of Calculus,M,161Q,,,,4,,,2
11,US CORE,ELEC,,,,,3,,,2
12,Organic Chemistry I,CHMY,321,8,,,3,,,3
13,Organic Chemistry I Lab,CHMY,322,8,,12,1,,,3
14,Neurophysiology,NEUR,313,7,,,3,,,3
15,College Physics I,PHSX,205,,,,4,,,3
16,University Core and Electives,ELEC,,,,,4,,,3
17,Biomedical Genetics,BIOH,320,7,,,3,,,4
18,Organic Chemistry II,CHMY,323,12,,,3,,,4
19,Organic Chemistry II lab,CHMY,324,13,,18,1,,,4
20,College Physics II,PHSX,207,15,,,4,,,4
21,University Core and Electives,ELEC,,,,,4,,,4
22,Biochemistry,BCH,380,7;18,,,4,,,5
23,Biochemistry Lab,BCH,381,,,22,1,,,5
24,College Writing II,WRIT,201,5,,,3,,,5
25,University Core and Electives,ELEC,,,,,7,,,5
26,Adv Cell & Molecular Biology,BIOB,425,17;22,,,3,,,6
27,Evolution,BIOB,420,17,,,3,,,6
28,University Core and Electives,ELEC,,,,,9,,,6
29,University Core and Elective,ELEC,,,,,15,,,7
30,Senior Thesis/Capstone,BIOB,499,,,,2,,,8
31,University Core and Elective,ELEC,,,,,13,,,8
Additional Courses,,,,,,,,,,
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Term
