Curriculum,Cell Biology and Neuroscience: CBN Option,,,,,,,,,
Degree Plan,Cell Biology and Neuroscience: CBN Option,,,,,,,,,
Institution,Montana State University,,,,,,,,,
Degree Type,BS,,,,,,,,,
System Type,semester,,,,,,,,,
CIP,,,,,,,,,,
Courses,,,,,,,,,,
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Term
1,Integrated Physiology I,BIOH,185,,2,,4,,,1
2,College Chemistry I,CHMY,141,,,,3,,,1
3,College Chemistry I Lab,CHMY,142,,,2,1,,,1
4,Calculus I,M,171Q,,,,4,,,1
5,University Core and Electives,ELEC,,,,,3,,,1
6,Cellular and Molecular Biology,BIOB,260,2;4,,,4,,,2
7,College Chemistry II,CHMY,143,2,,,3,,,2
8,College Chemistry II Lab,CHMY,144,,,7,1,,,2
9,Calculus II,M,172Q,4,,,4,,,2
10,University Core and Electives,ELEC,,,,,3,,,2
11,Organic Chemistry I,CHMY,321,7,,,3,,,3
12,Organic Chemistry I Lab,CHMY,322,7,,11,1,,,3
13,Neurophysiology,NEUR,313,6,,,3,,,3
14,College Physics I,PHSX,205,,,,4,,,3
15,Statistics for Scientists and Engineers,STAT,332,9,,,3,,,3
16,University Core and Electives,ELEC,,,,,1,,,3
17,Biomedical Genetics,BIOH,320,6,,,3,,,4
18,Organic Chemistry II,CHMY,323,11,,,3,,,4
19,Organic Chemistry II,CHMY,324,,,18,1,,,4
20,College Physics II,PHSX,207,14,,,4,,,4
21,University Core and Electives,ELEC,,,,,4,,,4
22,Biochemistry,BCH,380,6;18,,,4,,,5
23,Biochemistry Lab,BCH,381,,,22,1,,,5
24,University Core and Electives,ELEC,,,,,10,,,5
25,Adv Cell & Molecular Biology,BIOB,425,17;22,,,3,,,6
26,College Writing II,WRIT,201,5,,,3,,,6
27,Evolution,BIOB,420,17,,,3,,,6
28,University Core and Electives,ELEC,,,,,6,,,6
29,University Core and Electives,ELEC,,,,,15,,,7
30,Senior Thesis/Capstone,BIOB,499,,,,2,,,8
31,University Core and Electives,ELEC,,,,,13,,,8
Additional Courses,,,,,,,,,,
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Term
