Curriculum,"Microbiology - Microbiology Option, Microbiology Track",,,,,,,,,
Degree Plan,"Microbiology - Microbiology Option, Microbiology Track",,,,,,,,,
Institution,Montana State University,,,,,,,,,
Degree Type,BS,,,,,,,,,
System Type,semester,,,,,,,,,
CIP,,,,,,,,,,
Courses,,,,,,,,,,
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Term
1,College Chemistry I,CHMY,141,,,,3,,,1
2,College Chemistry I Lab,CHMY,142,,,1,1,,,1
3,College Chemistry II,CHMY,143,1,,,3,,,1
4,College Chemistry II Lab,CHMY,144,,,3,1,,,1
5,Principles of Living Systems,BIOB,160,,,,4,,,1
6,Survey of Calculus,M,161Q,,,,4,,,1
7,Biometry,BIOB,318,,,,3,,,1
8,University Core and Electives,ELEC,,,,,11,,,1
9,Organic Chemistry I,CHMY,321,3,,,3,,,2
10,Organic Chemistry I Lab,CHMY,322,3,,9,1,,,2
11,Organic Chemistry II,CHMY,323,9,,,3,,,2
12,Organic Chemistry II Lab,CHMY,324,10,,11,1,,,2
13,General Microbiology,BIOM,360,5,,,5,,,2
14,College Physics I,PHSX,205,,,,4,,,2
15,College Physics II,PHSX,207,14,,,4,,,2
16,Microbiology Electives,ELEC,,,,,5,,,2
17,University Core and Electives,ELEC,,,,,4,,,2
18,Biochemistry,BCH,380,5;11,,,4,,,3
19,Biochemistry LAB,BCH,381,,,18,1,,,3
20,Applied and Environmental Microbiology,BIOM,430,13,,,4,,,3
21,Microbiology Electives,ELEC,,,,,10,,,3
22,University Core and Electives,ELEC,,,,,11,,,3
23,Seminar/Workshop,BIOM,494,13,,,2,,,4
24,Microbial Physiology,BIOM,450,13;18,,,3,,,4
25,Microbial Genetics,BIOM,410,13;18,,,3,,,4
26,Microbiology Electives,ELEC,,,,,10,,,4
27,University Core and Electives,ELEC,,,,,12,,,4
Additional Courses,,,,,,,,,,
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Term
