Curriculum,Biotechnology - Plant Systems Option,,,,,,,,,
Degree Plan,Biotechnology - Plant Systems Option,,,,,,,,,
Institution,Montana State University,,,,,,,,,
Degree Type,BS,,,,,,,,,
System Type,semester,,,,,,,,,
CIP,26.1201,,,,,,,,,
Courses,,,,,,,,,,
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Term
1,College Writing I,WRIT,101W,,,,3,,,1
2,Introduction to Biotechnology,BIOB,105CS,,,,3,,,1
3,Principles of Biological Diversity,BIOB,170IN,,,,4,,,1
4,College Chemistry I,CHMY,141,,,,3,,,1
5,College Chemistry I LAB,CHMY,142,,,4,1,,,1
6,Biometry,BIOB,318,,,,3,,,1
7,Principles of Living Systems,BIOB,160,4,,,4,,,1
8,College Chemistry II,CHMY,143,4,,,3,,,1
9,College Chemistry II  LAB,CHMY,144,,,8,1,,,1
10,Survey of Calculus,M,161Q,,,,4,,,1
11,University Core and Electives,ELEC,,,,,3,,,1
12,General Genetics,BIOB,375,7,,,3,,,2
13,Organic Chemistry I,CHMY,321,8,,,3,,,2
14,Organic Chemistry I LAB,CHMY,322,,,13,1,,,2
15,General Microbiology,BIOM,360,7,,,5,,,2
16,Organic Chemistry II,CHMY,323,13,,,3,,,2
17,Organic Chemistry II LAB,CHMY,324,,,16,1,,,2
18,Economic Way of Thinking,ECNS,101IS,,,,3,,,2
19,University Core and Electives,ELEC,,,,,8,,,2
20,Biochemistry,BCH,380,6;15,,,4,,,3
21,Biochemistry LAB,BCH,381,,,20,1,,,3
22,Plant Biotechnology,BIOB,430,20,,,3,,,3
23,Plant Physiology,BIOO,433,6;13,,,3,,,3
24,Advanced Plant Propagation,HORT,447,,,,3,,,3
25,College Physics I,PHSX,205,,,,4,,,3
26,College Physics II,PHSX,207,25,,,4,,,3
27,University Core and Electives,ELEC,,,,,8,,,3
28,Undergraduate Research,BIOB,490R,,,,6,,,4
29,Senior Thesis/Capstone,BIOB,499,,,,2,,,4
30,Concepts of Plant Pathology,BIOM,421,33,,,3,,,4
31,Plant Metabolism,BIOO,460,20,,,3,,,4
32,Research Mthds in Microbiology,BIOM,455R,17;20,,,3,,,4
33,University Core and Electives,ELEC,,,,,18,,,4
Additional Courses,,,,,,,,,,
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Term
