Curriculum,Environmental Horticulture - Landscape Design Option,,,,,,,,,
Degree Plan,Environmental Horticulture - Landscape Design Option ,,,,,,,,,
Institution,Montana State University,,,,,,,,,
Degree Type,BS,,,,,,,,,
System Type,semester,,,,,,,,,
CIP,1.1101,,,,,,,,,
Courses,,,,,,,,,,
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Term
1,Design Fundamentals I,ARCH,151RA,,,,4,,,1
2,Principles of Biological Diversity,BIOB,170IN,,,,4,,,1
3,Introduction to General Chemistry,CHMY,121IN,,,,3,,,1
4,Introduction to General Chemistry Lab,CHMY,122IN,,,3,1,,,1
5,College Algebra,M,121Q,,,,3,,,1
6,Introduction to Plant Biology,BIOB,110CS,,,,3,,,1
7,Introduction to Horticulture,HORT,105,,,,3,,,1
8,Landscape Dsgn/Hist/Theory,HORT,131,,,,3,,,1
9,College Writing I,WRIT,101W,,,,3,,,1
10,Introduction to Landscape Architecture,LARC,120,,,,3,,,1
11,Soils,ENSC,245IN,5,,,3,,,2
12,Sustainable Landscape Studio,HORT,201,,,,3,,,2
13,Woody Ornamentals,HORT,231,,,,3,,,2
14,Sustainable Landscape Studio II,LARC,202,12,17,,3,,,2
15,Herbaceous Ornamentals,HORT,232,2,,,3,,,2
16,Landscape Graphics I,HORT,225,,,,3,,,2
17,Landscape Graphics II,LARC,226,16;19,,,3,,,2
18,Introduction to Drafting and Design,DDSN,131,,,,3,,,2
19,Communication Elective,ELEC,,,,,3,,,2
20,University Core & Electives,ELEC,,,,,3,,,2
21,Topics in Horticulture,HORT,310,2;5;7,,,3,,,3
22,Planting Design,HORT,331,,,,3,,,3
23,Site Development,LARC,335,5;7,,22,4,,,3
24,Landscape Construction,LARC,336,7,23;22,,4,,,3
25,Site Design Studio I,LARC,340,22,,,4,,,3
26,Business Elective,ELEC,,,,,3,,,3
27,University Core and Electives,ELEC,,,,,9,,,3
28,Site Design Studio ll,LARC,432,22,23;24,,4,,,4
29,Urban Planning and Design,LARC,440,22,,,4,,,4
30,Landscape Planning,LARC,435,23,23;24,,4,,,4
31,Plant Propagation,HORT,245,2;3,,,3,,,4
32,Comm Plant Production,HORT,343,6,,,3,,,4
33,Specialization Electives,ELEC,,,,,12,,,4
Additional Courses,,,,,,,,,,
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Term
