Curriculum,Sustainable Food and Bioenergy Systems - Sustainable Crop Production Option,,,,,,,,,
Degree Plan,Sustainable Food and Bioenergy Systems - Sustainable Crop Production Option,,,,,,,,,
Institution,Montana State University,,,,,,,,,
Degree Type,BS,,,,,,,,,
System Type,semester,,,,,,,,,
CIP,30.3301,,,,,,,,,
Courses,,,,,,,,,,
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Term
1,Introduction to Sustainable Food and Bioenergy Systems,SFBS,146,,,,3,,,1
2,Principles of Biological Diversity,BIOB,170IN,,,,4,,,1
3,Economic Way of Thinking,ECNS,101IS,,,,3,,,1
4,Introduction to Plant Biology,BIOB,110CS,,,,3,,,1
5,Land Resourses and Environmental Sciences,ENSC,110,,,,3,,,1
6,Soils,ENSC,245IN,9,,,3,,,1
7,Introduction to General Chemistry ,CHMY,121IN,,,,3,,,1
8,Introduction to General Chemistry Lab,CHMY,122IN,,,7,1,,,1
9,College Algebra,M,121Q,,,,3,,,1
10,Any US Core and Electives,ELEC,,,,,4,,30,1
11,Basic Human Nutrition,NUTR,221CS,,,,3,,,2
12,Field Crop Production,AGSC,341,6,,,3,,,2
13,Unseen Universe: Microbes,BIOM,103IN,,,,3,,,2
14,Energy and Sustainability,ECHM,205CS,,,,3,,,2
15,Practicum: Towne's Harvest,SFBS,296,1,,,3,,,2
16,"MT Indians: Cultures, Histories, Current Issues",NASX,232D,,,,3,,,2
17,Biometry,BIOB,318,9,,,3,,,2
18,Economics of Ag Business,AGBE,210IS,3,,,3,,,2
19,Electives,ELEC,,,,,6,,30,2
20,Vegetable Production,HORT,337,4,,,3,,,3
21,Ethnobotany,SFBS,327,1,,,3,,,3
22,General Ecology,BIOE,370,9;17,,,3,,,3
23,Directed Elective,ELEC,,,,,3,,,3
24,Nutrition and Society,NUTR,351,11,,,3,,,3
25,Cropping Systems and Sustainable Agriculture,AGSC,428,6;12,,,3,,,3
26,Contemporary Consumer Issues,HDFS,239,,,,3,,,3
27,Upper Division Directed Electives,ELEC,,,,,9,,30,3
28,Plant Nutrition and Soil Fertility Management,AGSC,356,6;7,,,3,,,4
29,"Food System Resilience, Vulnerability and Transformation",SFBS,466,15,,,3,,,4
30,Internship,SFBS,498,,,,6,,,4
31,Senior Thesis/Capstone,SFBS,499,15;30,,,3,,,4
32,Sustainable Food Systems,SFBS,451R,11,,,3,,,4
33,Small Business and Entrepreneurship in Food and Health,SFBS,429,3,,,3,,,4
34,Upper Division Directed Electives,ELEC,,,,,9,,30,4
Additional Courses,,,,,,,,,,
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Term
