Curriculum,Environmental Design,,,,,,,,,
Degree Plan,Environmental Design,,,,,,,,,
Institution,Montana State University,,,,,,,,,
Degree Type,BA,,,,,,,,,
System Type,semester,,,,,,,,,
CIP,4.0902,,,,,,,,,
Courses,,,,,,,,,,
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Term
1,Introduction to Design,ARCH,121IA,,,,3,,,1
2,Design Fundamentals I,ARCH,151RA,,,,4,,,1
3,Precalculus,M,151Q,,,,4,,,1
4,University Core,CORE,,,,,3,,,1
5,Course ARCH 152,ARCH,152,,,,4,,,2
6,College Physics I,PHSX,205,,,,4,,,2
7,University Core,CORE,,,,,9,,,2
8,Architectural Design I,ARCH,253,2;5,,,5,,,3
9,Architectural Graphics I,ARCH,261,,,,3,,,3
10,World Architecture I,ARCH,322IA,4,,,3,,,3
11,University Core,CORE,,,,,6,,,3
12,Building Construction I,ARCH,241,,,,3,,,4
13,Arch Graphics II,ARCH,262,9,,,3,,,4
14,Architectural Design II,ARCH,254,8,,,5,,,4
15,World Architecture II,ARCH,323IA,4,,,3,,,4
16,Environmental Controls I,ARCH,331,14,,,4,,,5
17,Architectural Graphics III,ARCH,363,13,,,3,,,5
18,Architectural Structures I,ARCH,343,,,,4,,,5
19,Architectural Design III,ARCH,355,14,,,5,,,5
20,Environmental Controls II,ARCH,332,16,,,4,,,6
21,Building Construction II,ARCH,340,12;18;19,,,4,,,6
22,Architectural Structures II,ARCH,344,18,,,4,,,6
23,Arch Design IV,ARCH,356,19,,,5,,,6
24,Non-Architecture Electives,ELEC,,,,,3,,,7
25,University Core,CORE,,,,,3,,,7
26,Sustainability in Architecture,ARCH,431,20;23,,,3,,,7
27,Arch Design VI,ARCH,458,23,,,5,,,7
28,Professional Practice,ARCH,413,21;23,,,3,,,8
29,Architectural Design V,ARCH,457,23,,,5,,,8
30,Research Methods in Arch,ARCH,452,23,,,3,,,8
31,Non-Architecture Electives,ELEC,,,,,6,,,8
Additional Courses,,,,,,,,,,
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Term
