Curriculum,Art - Graphic Design Option,,,,,,,,,
Degree Plan,Art - Graphic Design Option,,,,,,,,,
Institution,Montana State University,,,,,,,,,
Degree Type,BFA,,,,,,,,,
System Type,semester,,,,,,,,,
CIP,50.0701,,,,,,,,,
Courses,,,,,,,,,,
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Term
1,Visual Language - Drawing,ARTZ,105RA,,,,3,,,1
2,Visual Language: Comprehensive Foundation,ARTZ,109RA,,,,3,,,1
3,Introduction to Adobe,MART,122,,,,2,,,1
4,Art of World Civilization I,ARTH,200IA,,,,4,,,1
5,University Core and Electives,ELEC,,,,,3,,,1
6,Visual Language: Ideation and Creativity,ARTZ,110RA,,,,3,,,2
7,Web Design,MART,145RA,,,,3,,,2
8,Art of World Civilization II,ARTH,201IA,,,,4,,,2
9,Exploring Digital Photography,PHOT,154IA,,,,3,,,2
10,University Core and Electives,ELEC,,,,,3,,,2
11,Design Principles,GDSN,223,1;2;6,,,4,,,3
12,Art Studio elective,ARTZ,2xx,2,,,4,,,3
13,Art History Elective,ARTH,3xx,,,,3,,,3
15,University Core and Electives,ELEC,,,,,4,,,3
16,Art History Elective ,ARTH,3xx,,,,3,,,4
17,Form and Content,GDSN,224,11,,,4,,,4
18,Art Studio elective,ARTZ,2xx,2,,,4,,,4
19,University Core and Electives,ELEC,,,,,4,,,4
20,History of Graphic Design,GDSN,366,,,,3,,,5
21,Advanced Graphic Design studio electives,GDSN,3xx,17,,,5,,,5
22,Advanced Studio Elective,ARTZ,3xx,18,,,5,,,5
23,University Core and Electives,ELEC,,,,,2,,,5
24,Advanced Graphic Design studio electives,GDSN,3xx,17,,,5,,,6
25,Advanced Graphic Design studio electives,GDSN,3xx,17,,,5,,,6
26,University Core and Electives,ELEC,,,,,5,,,6
27,Professional Studio,GDSN,465,11;17,,,5,,,7
28,Advanced Studio elective,ARTZ,3xx,18,,,5,,,7
29,University Core and Electives,ELEC,,,,,4,,,7
30,Advanced Studio elective,ARTZ,3xx,18,,,5,,,8
31,Senior Portfolio,GDSN,499,27,,,5,,,8
32,University Core and Electives,ELEC,,,,,5,,,8
Additional Courses,,,,,,,,,,
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Term
