Curriculum,Film and Photography - Film Option,,,,,,,,,
Degree Plan,Film and Photography - Film Option,,,,,,,,,
Institution,Montana State University,,,,,,,,,
Degree Type,BA,,,,,,,,,
System Type,semester,,,,,,,,,
CIP,50.0602,,,,,,,,,
Courses,,,,,,,,,,
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Term
1,Intro to Film & Photography,FILM,100IH,,,,3,,,1
2,Understanding Film and Media,FILM,101IH,,,,3,,,1
3,Aesthetics of Film Prodctn I,FILM,112,,,,3,,,1
4,Understanding Photography,PHOT,113RA,,,,3,,,1
5,College Writing I,WRIT,101W,,,,3,,,1
6,University Seminar,,,,,,3,,,1
7,Film History I: Origins to the 1960s,FILM,201D,2,,,3,,,2
8,Film History II: 1960s to the Present,FILM,202D,2,,,3,,,2
9,Aesthetics Film Production II,FILM,212,,,,4,,,2
10,Scriptwriting,FILM,251,,,,3,,,2
11,Acting for Film,FILM,254,,,,3,,,2
12,Studies in Film,FILM,381,7;8,,,3,,,2
13,Recent History of Photography,PHOT,304,,,,3,,,2
14,Non-Fiction Film Production,FILM,371,9,,,4,,,3
15,Experimental Film Production,FILM,373,9,,,4,,,3
16,SFP ELECTIVE REQUIREMENT,,,,,,12,,,3
17,NON-SFP ELECTIVES REQUIREMENT,,,,,,9,,,4
18,Film Capstone,FILM,499,,,,5,,,4
19,University Core (Q),ELEC,,,,,3,,,1
20,University Core (IS),ELEC,,,,,3,,,2
21,University Core (IN),ELEC,,,,,3,,,3
22,University Core (CS),ELEC,,,,,3,,,4
23,General Electives,ELEC,,,,,9,,,1
24,General Electives,ELEC,,,,,6,,,2
25,General Electives,ELEC,,,,,6,,,3
26,General Electives,ELEC,,,,,13,,,4
Additional Courses,,,,,,,,,,
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Term
