Curriculum,Integrated Lens-Based Media,,,,,,,,,
Degree Plan,Integrated Lens-Based Media,,,,,,,,,
Institution,Montana State University,,,,,,,,,
Degree Type,BFA,,,,,,,,,
System Type,semester,,,,,,,,,
CIP,50.0602,,,,,,,,,
Courses,,,,,,,,,,
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Term
1,Intro to Film & Photography,FILM,100IH,,,,3,,,1
2,Understanding Film and Media,FILM,101IH,,,,3,,,1
3,Aesthetics of Film Prodctn I,FILM,112,,,,3,,,1
4,Understanding Photography,PHOT,113RA,,,,3,,,1
5,Intermediate Photography,PHOT,213,4,,,3,,,1
6,Art Elective,ARTZ,,,,,3,,,1
7,College Writing I,WRIT,101W,,,,3,,,1
8,University Seminar,,,,,,3,,,1
9,Film History I: Origins to the 1960s,FILM,201D,2,,,3,,,2
10,Film History II: 1960s to the Present,FILM,202D,2,,,3,,,2
11,Aesthetics Film Production II,FILM,212,,,,4,,,2
12,Scriptwriting,FILM,251,,,,3,,,2
13,Intro to Color Photography,PHOT,255,5,,,4,,,2
14,View Camera,PHOT,258,5,,,4,,,2
15,History of Photography Course,PHOT,,,,,3,,,2
16,Studies Electives,ELEC,,,,,6,,,3
17,SFP ELECTIVE REQUIREMENT,ELEC,,,,,12,,,3
18,Senior capstone,ELEC,,,,,10,,,4
19,University Core (Q),ELEC,,,,,3,,,1
20,University Core (IS),ELEC,,,,,3,,,1
21,University Core (IN),ELEC,,,,,3,,,2
22,University Core (CS),ELEC,,,,,3,,,2
23,General Electives,ELEC,,,,,12,,,4
24,General Electives,ELEC,,,,,20,,,4
Additional Courses,,,,,,,,,,
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Term
