Curriculum,Secondary Education - General Science Broadfield option,,,,,,,,,
Degree Plan,Secondary Education - General Science Broadfield option,,,,,,,,,
Institution,Montana State University,,,,,,,,,
Degree Type,BS,,,,,,,,,
System Type,semester,,,,,,,,,
CIP,13.1316,,,,,,,,,
Courses,,,,,,,,,,
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Term
1,Teaching and Learning,EDU,101US,,,,3,,,1
2,Indiv and Fam Dev: Lifespan,HDFS,101IS,,,,3,,,1
3,Principles of Biological Diversity,BIOB,170IN,,,,4,,,1
4,Survey of Calculus,M,161Q,,,,4,,,1
5,W Core,WRIT,101W,,,,3,,,1
6,Educ Psych and Adolescent Dev,EDU,223IS,,,,3,,,2
7,College Chemistry I,CHMY,141,,,,3,,,2
8,College Chemistry I Lab,CHMY,142,,,7,1,,,2
9,College Physics I,PHSX,205,,,,4,,,2
10,IA/RA Core,ELEC,IA/RA,,,,3,,,2
11,Elective,ELEC,,,,,3,,,2
12,Integrating Tech into Educ,EDU,370,6,,,3,,,3
13,Principles of Living Systems,BIOB,160,7,,,4,,,3
14,College Chemistry II,CHMY,143,7,,,3,,,3
15,College Chemistry II Lab,CHMY,144,,,14,1,,,3
16,College Physics II,PHSX,207,9,,,4,,,3
17,Multicultural Education,EDU,211D,6,,,3,,,4
18,General Ecology,BIOE,370,3,,,3,,,4
19,Elements of Organic Chemistry,CHMY,211,14,,,3,,,4
20,Elements of Organic Chemistry Lab,CHMY,212,15,,19,1,,,4
21,Earth System Sciences,ERTH,101IN,,,,4,,,4
22,Elective,ELEC,,,,,3,,,4
23,Exceptional Learners,EDSP,306,6,,,3,,,5
24,General Genetics,BIOB,375,13,,,3,,,5
25,Animal Physiology,BIOO,412,13,,,3,,,5
26,Earth Science Elective,GEO,1xx,,,,4,,,5
27,Elective,ELEC,,,,,3,,,5
28,Managing the Learning Environment for K-12/Secondary,EDU,347,6,,,2,,,6
29,"Assessmt, Curric, Instructn",EDU,382,6,,,3,,,6
30,Unseen Universe: Microbes,BIOM,103IN,,,,3,,,6
31,Evolution,BIOB,420,24,,,3,,,6
32,Unseen Universe: Microbes,ERTH,303,21,,,3,,,6
33,IH/RH Core,ELEC,IH/RH,,,,3,,,6
34,Practicum: 5-12/K-12,EDP,304,29,,,2,,,7
35,Practicum Lab: 5-12/K-12,EDP,305,29,,,1,,,7
36,Methods: 5-12 Science,EDM,403,29,,,3,,,7
37,Seminar: Lab Safety,EDU,494,,,,1,,,7
38,Solar System Astronomy,ASTR,371,9,16,,4,,,7
39,History of Science Elective,HSTR,2xx,,,,3,,,7
40,Elective,ELEC,,,,,3,,,7
41,Student Teaching,EDU,495R,,,,12,,,8
Additional Courses,,,,,,,,,,
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Term
