Curriculum,Secondary Education - Social Studies Broadfield Option,,,,,,,,,
Degree Plan,Secondary Education - Social Studies Broadfield Option,,,,,,,,,
Institution,Montana State University,,,,,,,,,
Degree Type,BS,,,,,,,,,
System Type,semester,,,,,,,,,
CIP,13.1317,,,,,,,,,
Courses,,,,,,,,,,
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Term
1,Teaching and Learning,EDU,101US,,,,3,,,1
2,Indiv and Fam Dev: Lifespan,HDFS,101IS,,,,3,,,1
3,Western Civilization II,HSTR,102IH,,,,4,,,1
4,W Core,WRIT,101W,,,,3,,,1
5,Q Core,CORE,Q,,,,3,,,1
6,Educ Psych and Adolescent Dev,EDU,223IS,,,,3,,,2
7,Geography of World Regions,GPHY,141D,,,,3,,,2
8,Western Civilization I,HSTR,101IH,,,,4,,,2
9,Introduction to American Government,PSCI,210IS,,,,3,,,2
10,CS Core,CORE,CS,,,,3,,,2
11,Integrating Tech into Educ,EDU,370,6,,,3,,,3
12,American History I,HSTA,101IH,,,,4,,,3
13,Latin American History,HSTR,130D,,,,3,,,3
14,Scope and Methods of Political Science,PSCI,201,,,,3,,,3
15,Introduction to International Relations,PSCI,230D,,,,3,,,3
16,Multicultural Education,EDU,211D,6,,,3,,,4
17,American History II,HSTA,102IH,,,,4,,,4
18,"MT Indians: Cultures, Histories, Current Issues",NASX,232D,,,,3,,,4
19,Social Science Upper Division Elect 300+,ELEC,,,,,3,,,4
20,IA/RA Core,CORE,IA/RA,,,,3,,,4
21,Exceptional Learners,EDSP,306,6,,,3,,,5
22,HSTR/HSTA Upper Division Elect 300+,ELEC,,,,,3,,,5
23,HSTR/HSTA Upper Division Elect 300+,ELEC,,,,,3,,,5
24,NASX Upper Division Elect 300+,NASX,3xx,,,,3,,,5
25,PSCI Upper Division Elect 300+,PSCI,3xx,,,,3,,,5
26,IN/RN Core,CORE,IN/RN,,,,3,,,5
27,Managing the Learning Environment for K-12/Secondary,EDU,347,6,,,2,,,6
28,"Assessmt, Curric, Instructn",EDU,382,6,,,3,,,6
29,HSTR/HSTA Upper Division Elect 300+,ELEC,,8,,,3,,,6
30,HSTR/HSTA Upper Division Elect 300+,ELEC,,8,,,3,,,6
31,PSCI Upper Division Elect 300+,ELEC,,14,,,3,,,6
32,PSCI Upper Division Elect 300+,ELEC,,14,,,3,,,6
33,Methods: 5-12 Social Studies,EDM,402,28,,,3,,,7
34,Practicum: 5-12/K-12,EDP,304,28,,,3,,,7
35,Practicum Lab: 5-12/K-12,EDP,305,28,,,2,,,7
36,HSTR/HSTA Upper Division Elect 300+,ELEC,,8,,,1,,,7
37,PSCI Upper Division Elect 300+,ELEC,,14,,,3,,,7
38,Social Science Upper Division Elect 300+,ELEC,,,,,3,,,7
39,Elective,ELEC,,,,,1,,,7
40,Student Teaching,EDU,495R,,,,12,,,8
Additional Courses,,,,,,,,,,
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Term
