Curriculum,Elementary Education K-8 - Early Childhood Education Option,,,,,,,,,
Degree Plan,Elem Ed Early Childhood Option,,,,,,,,,
Institution,Montana State University,,,,,,,,,
Degree Type,BS,,,,,,,,,
System Type,semester,,,,,,,,,
CIP,13.1202,,,,,,,,,
Courses,,,,,,,,,,
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Term
1,Teaching and Learning,EDU,101US,,,,3,,,1
2,Early Childhood Development,EDEC,160,,,,3,,,1
3,Educ Psych & Child Development,EDU,222IS,,,,3,,,1
4,Numbers & Operations for K-8 Teachers,M,132,,,,3,,,1
5,Organism Function,BIOB,100IN,,,,3,,,1
6,W Core,WRIT,101W,,,,3,,,1
7,Introduction to Early Childhood Education,EDEC,108,,,,2,,,2
8,Arts & Lifelong Learning,EDU,204IA,,,,3,,,2
9,Geometry & Measure K-8 Teachers,M,133Q,4,,,3,,,2
10,Introduction to Native American Studies,NASX,105D,,,,3,,,2
11,Human Geography,GPHY,121D,,,,3,,,2
12,Approved STEM Elective,ELEC,,,,,3,,,2
13,Multicultural Education,EDU,211D,3,,,3,,,3
14,Play and Learning in Early Childhood,EDEC,350,,,,3,,,3
15,Lit and Literacy for Children,EDU,331,3,,,3,,,3
16,Physics by Inquiry,PHSX,201IN,,,,3,,,3
17,Higher Math for K-8 Teachers,M,234,9,,,3,,,3
18,American History I,HSTA,101IH,,,,4,,,3
19,Emergent Literacy,EDU,330,3,,,3,,,4
20,Integrating Tech into Educ,EDU,370,3,,,3,,,4
21,Relationships and Fam Systems,HDFS,263,,,,3,,,4
22,Introduction to American Government,PSCI,210IS,,,,3,,,4
23,Earth System Sciences,ERTH,101IN,,,,3,,,4
24,"Assessmt, Curric, Instructn",EDU,382,3,,,3,,,5
25,ESL:Teaching Culturally/Linguistically Diverse K-12 Students,EDU,411,13,,,3,,,5
26,Exceptional Learners,EDSP,306,3,,,3,,,5
27,Exceptional Learners Lab,EDSP,307,,,,2,,,5
28,Methods: K-8 Health Enhancement,EDM,307,,,,3,,,5
29,Practicum I: K-8,EDP,301,9;24,,,3,,,6
30,Methods: K-8 Language Arts,EDM,301,15;19;24,,,3,,,6
31,Methods: K-8 Science,EDM,303,24,,,3,,,6
32,Managing the Learning Environment,EDU,342,3,,,3,,,6
33,Integrated Curriculum Early Childhood Education,EDEC,385,,,,3,,,6
34,Practicum II: K-8,EDP,302,29,,,3,,,7
35,Methods: K-8 Math,EDM,304,17;24,,,3,,,7
36,Methods: K-8 Creative Arts,EDM,309,8;24,,,3,,,7
37,Methods: K-8 Social Studies,EDM,302R,24,,,3,,,7
38,"Ltrcy Asmnt, Diagnos and Instr",EDU,438,19;24,,,3,,,7
39,Student Teaching,EDU,495R,38;37;36;35;34;32;31;30;28;26,,,12,,,8
Additional Courses,,,,,,,,,,
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Term
