Curriculum,Elementary Education K-8 - Science Education Option,,,,,,,,,
Degree Plan,Elem Ed Science Option,,,,,,,,,
Institution,Montana State University,,,,,,,,,
Degree Type,BS,,,,,,,,,
System Type,semester,,,,,,,,,
CIP,,,,,,,,,,
Courses,,,,,,,,,,
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Term
1,Teaching and Learning,EDU,101US,,,,3,,,1
2,Educ Psych & Child Development,EDU,222IS,,,,3,,,1
3,Numbers & Operations for K-8 Teachers,M,132,,,,3,,,1
4,Organism Function,BIOB,100IN,,,,3,,,1
5,W Core,WRIT,101W,,,,3,,,1
6,Arts & Lifelong Learning,EDU,204IA,,,,3,,,2
7,Geometry & Measure K-8 Teachers,M,133Q,3,,,3,,,2
8,Introduction to Native American Studies,NASX,105D,,,,3,,,2
9,Human Geography,GPHY,121D,,,,3,,,2
10,Principles of Living Systems,BIOB,160,,,,3,,,2
11,Multicultural Education,EDU,211D,2,,,3,,,3
12,Lit and Literacy for Children,EDU,331,2,,,3,,,3
13,Physics by Inquiry,PHSX,201IN,,,,3,,,3
14,Higher Math for K-8 Teachers,M,234,7,,,3,,,3
15,American History I,HSTA,101IH,,,,4,,,3
16,Emergent Literacy,EDU,330,2,,,3,,,4
17,Integrating Tech into Educ,EDU,370,2,,,3,,,4
18,Introduction to American Government,PSCI,210IS,,,,3,,,4
19,Earth System Sciences,ERTH,101IN,,,,3,,,4
20,Science Elective,ELEC,,,,,3,,,4
21,"Assessmt, Curric, Instructn",EDU,382,2,,,3,,,5
22,ESL:Teaching Culturally/Linguistically Diverse K-12 Students,EDU,411,2;11,,,3,,,5
23,Exceptional Learners,EDSP,306,2,,,3,,,5
24,Methods: K-8 Health Enhancement,EDM,307,,,,3,,,5
25,Science Elective,ELEC,,,,,3,,,5
26,Practicum I: K-8,EDP,301,7;21,,,3,,,6
27,Methods: K-8 Language Arts,EDM,301,12;16;21,,,3,,,6
28,Methods: K-8 Science,EDM,303,21,,,3,,,6
29,Managing the Learning Environment,EDU,342,2,,,3,,,6
30,Physics Lab Course,PHSX,2xx,,,,3,,,6
31,Practicum II: K-8,EDP,302,26,,,3,,,7
32,Methods: K-8 Math,EDM,304,14;21,,,3,,,7
33,Methods: K-8 Creative Arts,EDM,309,6;21,,,3,,,7
34,Methods: K-8 Social Studies,EDM,302R,21,,,3,,,7
35,"Ltrcy Asmnt, Diagnos and Instr",EDU,438,16;21,,,3,,,7
36,Student Teaching,EDU,495R,35;34;33;32;31;29;28;27;24;23,,,12,,,8
37,Chemistry Lab Course,CHMY,1xx,,,,4,,,8
Additional Courses,,,,,,,,,,
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Term
