Curriculum,Community Health,,,,,,,,,
Degree Plan,Community Health,,,,,,,,,
Institution,Montana State University,,,,,,,,,
Degree Type,BS,,,,,,,,,
System Type,semester,,,,,,,,,
CIP,19.0101,,,,,,,,,
Courses,,,,,,,,,,
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Term
1,Introduction to Public Speaking,COMX,111US,,,,3,,,1
2,Indiv and Fam Dev: Lifespan,HDFS,101IS,,,,3,,,1
3,Contemporary Mathematics,M,105Q,,,,3,,,1
4,Introduction to Sociology,SOCI,101IS,,,,3,,,1
5,College Writing I,WRIT,101W,,,,3,,,1
6,Drugs and Society,CHTH,205,,,,3,,,2
7,Intro to Psychology,PSYX,100IS,,,,4,,,2
8,University Core,ELEC,,,,,9,,,2
9,Foundations in Community Health,CHTH,210,,,,3,,,3
10,Basic Human Nutrition,NUTR,221CS,,,,3,,,3
11,Intermediate Tech Writing,WRIT,221,5,,,3,,,3
12,Directed Electives,ELEC,,,,,6,,,3
13,Relationships and Fam Systems,HDFS,263,,,,3,,,4
14,Statistical Measures of Well-Being,HDFS,271,3,,,3,,,4
15,Human Sexuality,HTH,220,,,,3,,,4
16,Health Anatomy & Physiology,KIN,221,9,,,3,,,4
17,University Core,ELEC,,,,,3,,,4
18,Theories and Skills for the Human Services,HDFS,359,,,,3,,,5
19,Research Methods in HHD,HDFS,371,3,,,3,,,5
20,Directed Electives,ELEC,,,,,6,,,5
21,Upper Division Directed Electives,ELEC,,,,,3,,,5
22,Health Behavior Theories,CHTH,317,7,,,3,,,6
23,Human Response To Stress,CHTH,435,,,,3,,,6
24,Seminar,CHTH,494,,,,1,,,6
25,Managing Healthcare Organizations,HADM,445,9,,,3,,,6
26,The Ethic of Care,HTH,455,2,,,3,,,6
27,Directed Electives,ELEC,,,,,3,,,6
28,Health Disparities,CHTH,428,9;19,,,3,,,7
29,Internship,CHTH,498,,,,3,,,7
30,Family Law & Public Policy,HDFS,465R,13;19,,,3,,,7
31,Directed Electives,ELEC,,,,,6,,,7
32,Program Evaluation for Community Health,CHTH,443,9;19;22,,,3,,,8
33,Program Planning for CH,CHTH,445,9;19;22,,,3,,,8
34,Internship,CHTH,498,,,,2,,,8
35,Directed Electives,ELEC,,,,,6,,,8
Additional Courses,,,,,,,,,,
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Term
