Curriculum,Early Childhood Education and Child Services,,,,,,,,,
Degree Plan,Early Childhood Education and Child Services,,,,,,,,,
Institution,Montana State University,,,,,,,,,
Degree Type,BS,,,,,,,,,
System Type,semester,,,,,,,,,
CIP,19.0101,,,,,,,,,
Courses,,,,,,,,,,
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Term
1,Early Childhood Development,EDEC,160,,,,3,,,1
2,First Year Seminar,US,101US,,,,3,,,1
3,College Writing I,WRIT,101W,,,,3,,,1
4,ECE/CS Supporting Courses,ELEC,,,,,3,,,1
5,University Core,CORE,,,,,3,,,1
6,Introduction to Sociology,SOCI,101IS,,,,3,,,2
7,Introduction to Native American Studies,NASX,105D,,,,3,,,2
8,ECE/CS Supporting Courses,ELEC,,,,,6,,,2
9,Math Core,CORE,Q,,,,3,,,2
10,Signing for Early Childhood Educators,EDEC,288,,,,3,,,3
11,Relationships and Fam Systems,HDFS,263,,,,3,,,3
12,Basic Human Nutrition,NUTR,221CS,,,,3,,,3
13,ECE/CS Supporting Courses,ELEC,,,,,3,,,3
14,University Core,CORE,,,,,3,,,3
15,Paraprofessional Experience in Early Childhood,EDEC,271,1,,,2,,,4
16,Nutrition & Physical Activity in Early Childhood,EDEC,253,,,,3,,,4
17,ECE/CS Supporting Courses,ELEC,,,,,6,,,4
18,University Core,CORE,,,,,3,,,4
19,Play and Learning in Early Childhood,EDEC,350,15,,,3,,,5
20,Exceptional Learners,EDSP,306,1,,,3,,,5
21,Exceptional Learners Lab,EDSP,307,,,20,1,,,5
22,Research Methods in HHD,HDFS,371,9,,,3,,,5
23,ECE/CS Supporting Courses/Electives,ELEC,,,,,6,,,5
24,Integrated Curriculum Early Childhood Education,EDEC,385,19,26,,3,,,6
25,Social and Emotional Development in the Young Child,EDEC,430,,,,3,,,6
26,EC Internship,EDEC,498,,,,1,,,6
27,Theories and Skills for the Human Services,HDFS,359,,,,3,,,6
28,Parenting,HDFS,460,11,,,3,,,6
29,ECE/CS Supporting Courses,ELEC,,,,,3,,,6
30,Literacy in the EC Classroom,EDEC,450,1,,,3,,,7
31,Student Teaching (?),EDEC,496,,,,4,,,7
32,Assessment and Intervention,EDSP,458,20,,,4,,,7
33,Program Planning and Administration in Family & Consumer Sciences,HDFS,455R,22,,,3,,,7
34,ECE/CS Supporting Courses,ELEC,,,,,2,,,7
35,Professional Issues - Senior Seminar,HDFS,454,22,,,4,,,8
36,Reaching the Hurt Child,HDFS,459,6,,,3,,,8
37,ECE/CS Supporting Courses,ELEC,,,,,6,,,8
Additional Courses,,,,,,,,,,
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Term
