Curriculum,Food and Nutrition - Dietetics option,,,,,,,,,
Degree Plan,Food and Nutrition - Dietetics option,,,,,,,,,
Institution,Montana State University,,,,,,,,,
Degree Type,BS,,,,,,,,,
System Type,semester,,,,,,,,,
CIP,19.0501,,,,,,,,,
Courses,,,,,,,,,,
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Term
1,Anthropology and the Human Experience,ANTY,101D,,,,3,,,1
2,Introduction to Public Speaking,COMX,111US,,,,3,,,1
3,Indiv and Fam Dev: Lifespan,HDFS,101IS,,,,3,,,1
4,College Algebra,M,121Q,,,,3,,,1
5,College Writing I,WRIT,101W,,,,3,,,1
6,College Chemistry I,CHMY,141,4,,,3,,,2
7,College Chemistry I Lab,CHMY,142,,,6,1,,,2
8,Basic Human Nutrition,NUTR,221CS,,,,3,,,2
9,University Core,CORE,,,,,6,,,2
10,Principles of Financial Acct,ACTG,201,4,,,3,,,3
11,Principles of Living Systems,BIOB,160,6,,,4,,,3
12,College Chemistry II,CHMY,143,6,,,3,,,3
13,College Chemistry II Lab,CHMY,144,,,12,1,,,3
14,Careers in Nutrition and Dietetics,NUTR,224,8,,,1,,,3
15,Introduction to Statistics,STAT,216Q,4,,,3,,,3
16,Human Anatomy and Physiology I,BIOH,201,6,,,5,,,4
17,Prof Business Communication,BMGT,205,2;5,,,3,,,4
18,Unseen Universe: Microbes,BIOM,103IN,,,,3,,,4
19,Food Fundamentals,NUTR,226,8,,,3,,,4
20,Food Fundamentals Lab,NUTR,227,8,,,2,,,4
21,Human Anatomy and Physiology II,BIOH,211,16,,,4,,,5
22,Elements of Organic Chemistry,CHMY,211,12,,,4,,,5
23,Elements of Organic Chemistry Lab,CHMY,212,13,,22,1,,,5
24,Food and Culture,NUTR,301,19;20,,,3,,,5
25,Nutrition in the Life Cycle,NUTR,321,8,,,3,,,5
26,Biochemistry,BCH,380,11;22,,,4,,,6
27,Biochemistry Lab,BCH,381,,,26,1,,,6
28,Theories and Skills for the Human Services,HDFS,359,,,,3,,,6
29,Research Methods in HHD,HDFS,371,4,,,3,,,6
30,Nutrition Assessment/Counsel,NUTR,401,25,,,3,,,6
31,Human Response to Stress,CHTH,435,,,,3,,,7
32,Food Service System Management,NUTR,322,19;20,,,3,,,7
33,Nutrition and Society,NUTR,351,8,,,3,,,7
34,Macronutrient Metabolism,NUTR,421,8;21;26,,,3,,,7
35,Medical Nutrition Therapy I,NUTR,425,30,,,3,,,7
36,Seminar,NUTR,494,,,,1,,,7
37,Pract: Quant Foods Prod & Mgmt,NUTR,395,32,,,3,,,8
38,Micronutrient Metabolism,NUTR,422,8;21;26,,,3,,,8
39,Medical Nutrition Therapy II,NUTR,426,35,,,3,,,8
40,Capstone for Dietetics,NUTR,499,35,39,,1,,,8
41,Sustainable Food Systems,SFBS,451R,8,,,3,,,8
42,University Core,ELEC,,,,,3,,,8
Additional Courses,,,,,,,,,,
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Term
