Curriculum,Food and Nutrition - Nutrition Science option,,,,,,,,,
Degree Plan,Food and Nutrition - Nutrition Science option,,,,,,,,,
Institution,Montana State University,,,,,,,,,
Degree Type,BS,,,,,,,,,
System Type,semester,,,,,,,,,
CIP,19.0101,,,,,,,,,
Courses,,,,,,,,,,
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Term
1,College Chemistry I,CHMY,141,,,,3,,,1
2,College Chemistry I Lab,CHMY,142,,,1,1,,,1
3,Introduction to Public Speaking,COMX,111US,,,,3,,,1
4,Intro to Psychology,PSYX,100IS,,,,4,,,1
5,Survey of Calculus,M,161Q,,,,4,,,1
6,College Chemistry II,CHMY,143,1,,,3,,,2
7,College Chemistry II Lab,CHMY,144,,,6,1,,,2
8,Basic Human Nutrition,NUTR,221CS,,,,3,,,2
9,Introduction to Statistics,STAT,216Q,,,,3,,,2
10,College Writing I,WRIT,101W,,,,3,,,2
11,University Core,ELEC,,,,,3,,,2
12,Organic Chemistry I,CHMY,321,6,,,3,,,3
13,Organic Chemistry I Lab,CHMY,322,6;7,,12,1,,,3
14,Careers in Nutrition and Dietetics,NUTR,224,8,,,1,,,3
15,College Physics I,PHSX,205,,,,4,,,3
16,College Writing II,WRIT,201,10,,,3,,,3
17,University Core,ELEC,,,,,3,,,3
18,Human Anatomy and Physiology I,BIOH,201,1,,,5,,,4
19,Organic Chemistry II,CHMY,323,12,,,3,,,4
20,Organic Chemistry II Lab,CHMY,324,12;13,,19,1,,,4
21,College Physics II,PHSX,207,15,,,4,,,4
22,University Core,ELEC,,,,,3,,,4
23,Cellular and Molecular Biology,BIOB,260,1;9,,,4,,,5
24,Human Anatomy and Physiology II,BIOH,211,18,,,4,,,5
25,Theories and Skills for the Human Services,HDFS,359,,,,3,,,5
26,Nutrition in the Life Cycle,NUTR,321,8,,,3,,,5
27,Biochemistry,BCH,380,19;23,,,4,,,6
28,Biochemistry lab,BCH,381,,,27,1,,,6
29,Biomedical Genetics,BIOH,320,23,,,3,,,6
30,Research Methods in HHD,HDFS,371,5,,,3,,,6
31,Nutrition Assessment/Counsel,NUTR,401,26,,,3,,,6
32,General Microbiology,BIOM,360,23,,,5,,,7
33,Nutrition and Society,NUTR,351,8,,,3,,,7
34,Macronutrient Metabolism,NUTR,421,8;24;27,,,3,,,7
35,Medical Nutrition Therapy,NUTR,425,31,,,3,,,7
36,Human Developmental Biology,BIOH,323,23,,,4,,,8
37,Neurophysiology,NEUR,313,23,,,3,,,8
38,Micronutrient Metabolism,NUTR,422,8;24;27,,,3,,,8
39,Abnormal Psychology,PSYX,340,4,,,3,,,8
40,"University ""R"" Core",,R,,,,3,,,8
Additional Courses,,,,,,,,,,
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Term
