Curriculum,Human Development and Family Science ,,,,,,,,,
Degree Plan,Human Development and Family Science ,,,,,,,,,
Institution,Montana State University,,,,,,,,,
Degree Type,BS,,,,,,,,,
System Type,semester,,,,,,,,,
CIP,19.0101,,,,,,,,,
Courses,,,,,,,,,,
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Term
1,Indiv and Fam Dev: Lifespan,HDFS,101IS,,,,3,,,1
2,Survey of Family Finance and Consumer Issues,HDFS,138,,,,3,,,1
3,Contemporary Mathematics,M,105Q,,,,3,,,1
4,First Year Seminar,US,101US,,,,3,,,1
5,College Writing I,WRIT,101W,,,,3,,,2
6,Early Childhood Development,EDEC,160,,,,3,,,2
7,Choose HDFS course,HDFS,2xx,1,,,3,,,2
8,Electives,ELEC,,,,,3,,,2
9,University Core,CORE,,,,,6,,,2
10,Drugs and Society,CHTH,205,,,,3,,,3
11,Managing Work and Family,HDFS,237,,,,3,,,3
12,Relationships and Fam Systems,HDFS,263,,,,3,,,3
13,Basic Human Nutrition,NUTR,221CS,,,,3,,,3
14,University Core,CORE,,,,,3,,,3
15,Statistical Measures of Well-Being,HDFS,271,3,,,3,,,4
16,Human Sexuality,HTH,220,,,,3,,,4
17,Electives - Lower Division,ELEC,,,,,3,,,4
18,Directed Electives,ELEC,,,,,3,,,4
19,University Core,CORE,,,,,3,,,4
20,Theories and Skills for the Human Services,HDFS,359,,,,3,,,5
21,Research Methods in HHD,HDFS,371,3,,,3,,,5
22,Directed Electives (Upper Division),ELEC,,,,,6,,,5
23,Directed Electives,ELEC,,,,,3,,,5
24,Human Response To Stress,CHTH,435,,,,3,,,6
25,Contemporary Housing Topics,HDFS,334,2,,,3,,,6
26,Communication and Marketing in Community Education,HDFS,315,1,,,3,,,6
27,Parenting,HDFS,460,12,,,3,,,6
28,Directed Electives (upper Division),ELEC,,,,,3,,,6
29,Family Life Education,HDFS,457,21,,,3,,,7
30,Family Law & Public Policy,HDFS,465R,12;21,,,3,,,7
31,Seminar/Workshop,HDFS,494,,,,1,,,7
32,Directed Electives (Upper Division),ELEC,,,,,3,,,7
33,Directed Electives,ELEC,,,,,3,,,7
34,Electives,ELEC,,,,,2,,,7
35,Program Planning and Administration in Family & Consumer Sciences,HDFS,455R,21,,,3,,,8
36,"Gndr, Rce, Clss, and Fam Diver",HDFS,464,,,,3,,,8
37,Internship,HDFS,498,,,,3,,,8
38,Reaching the Hurt Child,HDFS,459,9,,,3,,,8
39,Electives,ELEC,,,,,3,,,8
Additional Courses,,,,,,,,,,
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Term
