Curriculum,Health Enhancement K-12 - Health and Physical Education Teaching K-12 Broadfield,,,,,,,,,
Degree Plan,Health Enhancement K-12 - Health and Physical Education Teaching K-12 Broadfield,,,,,,,,,
Institution,Montana State University,,,,,,,,,
Degree Type,BS,,,,,,,,,
System Type,semester,,,,,,,,,
CIP,19.0101,,,,,,,,,
Courses,,,,,,,,,,
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Term
1,Educ Psych and Adolescent Dev,EDU,223IS,,,,3,,,1
2,Contemporary Mathematics,M,105Q,,,,3,,,1
3,College Writing I,WRIT,101W,,,,3,,,1
4,University Core,ELEC,,,,,3,,,1
5,US Core,ELEC,,,,,3,,,1
6,Drugs and Society,CHTH,205,,,,3,,,2
7,Teaching Cooperative Games and Fitness Activities,HEE,311,,,,2,,,2
8,Human Sexuality,HTH,220,,,,3,,,2
9,University Core,CORE,,,,,3,,,2
10,Electives,ELEC,,,,,5,,,2
11,Multicultural Education,EDU,211D,1,,,3,,,3
12,Home School Program Practicum,HEE,222,,,,1,,,3
13,Introduction to Teaching Health Enhancement,HEE,242,,,,2,,,3
14,Methods of Lifetime Fitness Activities,HEE,303,,,,2,,,3
15,Methods of Team Sports,HEE,304,,,,2,,,3
16,Basic Human Nutrition,NUTR,221CS,,,,3,,,3
17,University Core,ELEC,,,,,3,,,3
18,Managing the Learning Environment for K-12/Secondary,EDU,347,1,,,2,,,4
19,Integrating Tech into Educ,EDU,370,1,,,3,,,4
20,"Assessmt, Curric, Instructn",EDU,382,1,,,3,,,4
21,Methods of Teaching Rhythms and Movement,HEE,205,,,,2,,,4
22,Home School Program Practicum,HEE,222,,,,1,,,4
23,Health Anatomy & Physiology,KIN,221,13,,,3,,,4
24,Electives,ELEC,,,,,1,,,4
25,Exceptional Learners,EDSP,306,1,,,3,,,5
26,Research Methods in HHD,HDFS,371,2,,,3,,,5
27,Kinesiology,KIN,322,2;23,,,4,,,5
28,University Core,ELEC,,,,,3,,,5
29,Electives,ELEC,,,,,2,,,5
30,Methods: K-4 Health Enhancement,EDM,306,1,,,3,,,6
31,Methods of Adapted HE,HEE,310,23,,,3,,,6
32,Exercise Physiology,KIN,320,23,,,4,,,6
33,Electives,ELEC,,,,,5,,,6
34,Methods: 5-12 Health Enhancement,EDM,406,20,,,3,,,7
35,Instrc Design in HE,HEE,430,6;8,,,3,,,7
36,Electives,ELEC,,,,,10,,,7
37,Student Teaching (K-8),EDU,495R,35;34;32;31;30;27;26;25,,,6,,,8
38,Student Teaching (5-12),EDU,495R,35;34;32;31;30;27;26;25,,,6,,,8
Additional Courses,,,,,,,,,,
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Term
