Curriculum,Health and Human Performance-Exercise Science Option,,,,,,,,,
Degree Plan,Health and Human Performance-Exercise Science Option,,,,,,,,,
Institution,Montana State University,,,,,,,,,
Degree Type,BS,,,,,,,,,
System Type,semester,,,,,,,,,
CIP,19.0101,,,,,,,,,
Courses,,,,,,,,,,
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Term
1,College Chemistry I,CHMY,141,,,,3,,,1
2,College Chemistry I Lab,CHMY,142,,1,,1,,,1
3,Survey of Calculus,M,161Q,,,,4,,,1
4,Intro to Psychology,PSYX,100IS,,,,4,,,1
5,College Writing I,WRIT,101W,,,,3,,,1
6,College Chemistry II,CHMY,143,1,,,3,,,2
7,College Chemistry II Lab,CHMY,144,,6,,1,,,2
8,Introduction to Public Speaking,COMX,111US,,,,3,,,2
9,Foundations of Exercise Science,KIN,105,,,,3,,,2
10,Basic Human Nutrition,NUTR,221CS,,,,3,,,2
11,University Core,CORE,,,,,3,,,2
12,Human Anatomy and Physiology I,BIOH,201,1,,,5,,,3
13,Principles of Strength and Conditioning,KIN,210,,,,3,,,3
14,College Physics I,PHSX,205,,,,4,,,3
15,Introduction to Statistics,STAT,216Q,,,,3,,,3
16,Human Anatomy and Physiology II,BIOH,211,12,,,4,,,4
17,Exercise Physiology,KIN,320,,16,,4,,,4
18,College Physics II,PHSX,207,14,,,4,,,4
19,University Core,CORE,,,,,3,,,4
20,Directed Elective,ELEC,,,,,3,,,5
21,Research Methods in HHD,HDFS,371,3,,,3,,,5
22,Kinesiology,KIN,322,12,,,4,,,5
23,Intermediate Statistical Concepts,STAT,217Q,15,,,3,,,5
24,Directed Elective,ELEC,,,,,3,,,5
25,Biomechanics,KIN,325R,3;14;21;22,15,,4,,,6
26,Kinesiology Directed Electives,ELEC,,,,,9,,,6
27,Motor Control and Learning,KIN,330,17;25,,,4,,,7
28,Nutrition for Sports/Exercise,NUTR,411,10;12,,,4,,,7
29,Directed Electives,ELEC,,,,,6,,,7
30,Directed Electives,ELEC,,,,,10,,,8
31,General Electives,ELEC,,,,,6,,,8
Additional Courses,,,,,,,,,,
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Term
