Curriculum,Hospitality Management - Lodging and Facilities Management Option,,,,,,,,,
Degree Plan,Hospitality Management - Lodging and Facilities Management Option,,,,,,,,,
Institution,Montana State University,,,,,,,,,
Degree Type,BS,,,,,,,,,
System Type,semester,,,,,,,,,
CIP,52.0901,,,,,,,,,
Courses,,,,,,,,,,
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Term
1,Food Safety Sanitation,CULA,105,,,,1,,,1
2,Introduction to Hospitality Management,HTR,107,,,,3,,,1
3,College Algebra,M,121Q,,,,3,,,1
4,College Writing I,WRIT,101W,,,,3,,,1
5,University Core and Electives,ELEC,,,,,4,,,1
6,Unseen Universe: Microbes,BIOM,103IN,,,,3,,,2
7,Hotel Management and Operations,HTR,201,,,,3,,,2
8,Pathways to Career Advancement I,HTR,205,2,,,1,,,2
9,Basic Human Nutrition,NUTR,221CS,,,,3,,,2
10,University Core and Directed Electives,ELEC,,,,,6,,,2
11,Accounting and Finance Basics,BGEN,210,,,,3,,,3
12,Prof Business Communication,BMGT,205,2;5,,,3,,,3
13,Economic Way of Thinking,ECNS,101IS,,,,3,,,3
14,Hospitality Management Internship,HTR,298,2;7,,,3,,,3
15,Introduction to Statistics,STAT,216Q,,,,3,,,3
16,Hospitality Supervision and Customer Service,CULA,250,2,,,3,,,4
17,Sustainability in the Hospitality Industry,HTR,220,2,,,3,,,4
18,Food Fundamentals,NUTR,226,9,,,3,,,4
19,Food Fundamentals Lab,NUTR,227,9,,,2,,,4
20,University Core and Electives,ELEC,,,,,4,,,4
21,Principles of Business Law,BGEN,361,,,,3,,,5
22,Bar and Beverage Management,CULA,247,1,,,3,,,5
23,Event Management,HTR,330,2,,,3,,,5
24,Food Service System Management,NUTR,322,18;19,,,3,,,5
25,Directed Electives,ELEC,,,,,3,,,5
26,Management and Organization,BMGT,335,,,,3,,,6
27,Principles of Marketing,BMKT,325,13,,,3,,,6
28,Research Methods in HHD,HDFS,371,3,,,3,,,6
29,Fundamentals of Tourism Management,HTR,230,2,,,3,,,6
30,Hospitality Facilities Management,HTR,335,2;7,,,3,,,6
31,Non-Formal Teaching Methods in Agriculture,AGED,482,,,,3,,,7
32,Integrated Marketing Communication,BMKT,343,27,,,3,,,7
33,Hospitality Management Internship II,HTR,498,,,,3,,,7
34,Integrative Hospitality Simulation,HTR,475,2;7,,,3,,,7
35,University Core or Directed Electives,ELEC,,,,,3,,,7
36,Human Resource Management,BMGT,329,26;21,,,3,,,8
37,Capstone: Hospitality Management Systems and Strategy,HTR,499,,,,3,,,8
38,Sustainable Food Systems,SFBS,451R,9,,,3,,,8
39,University Core and Directed Electives,ELEC,,,,,6,,,8
Additional Courses,,,,,,,,,,
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Term
