Curriculum,Hospitality Management - Restaurant Management: Farm-to-Table Option,,,,,,,,,
Degree Plan,Hospitality Management - Restaurant Management: Farm-to-Table Option,,,,,,,,,
Institution,Montana State University,,,,,,,,,
Degree Type,BS,,,,,,,,,
System Type,semester,,,,,,,,,
CIP,52.0901,,,,,,,,,
Courses,,,,,,,,,,
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Term
1,Introduction to Culinary Arts,CULA,102,,,,3,,,1
2,Food Safety Sanitation,CULA,105,,,,1,,,1
3,Introduction to Hospitality Management,HTR,107,,,,3,,,1
4,College Algebra,M,121Q,,,,3,,,1
5,College Writing I,WRIT,101W,,,,3,,,1
6,University Core or Directed Elective,ELEC,,,,,2,,,1
7,Unseen Universe: Microbes,BIOM,103IN,,,,3,,,2
8,Basic Human Nutrition,NUTR,221CS,,,,3,,,2
9,University Core and Directed Electives,ELEC,,,,,9,,,2
10,Accounting and Finance Basics,BGEN,210,,,,3,,,3
11,Prof Business Communication,BMGT,205,5;6,,,3,,,3
12,Bar and Beverage Management,CULA,247,2,,,3,,,3
13,Economic Way of Thinking,ECNS,101IS,,,,3,,,3
14,Introduction to Statistics,STAT,216Q,,,,3,,,3
15,Hospitality Supervision and Customer Service,CULA,250,3,,,3,,,4
16,Pathways to Career Advancement I,HTR,205,3,,,1,,,4
17,Sustainability in the Hospitality Industry,HTR,220,3,,,3,,,4
18,Food Fundamentals,NUTR,226,8,,,3,,,4
19,Food Fundamentals Lab,NUTR,227,8,,,2,,,4
20,Practicum: Towne's Harvest,SFBS,296,,,,3,,,4
21,Management and Organization,BMGT,335,,,,3,,,5
22,Principles of Marketing,BMKT,325,13,,,3,,,5
23,Food and Culture,NUTR,301,18;19,,,3,,,5
24,Directed Electives,ELEC,,,,,6,,,5
25,Principles of Business Law,BGEN,361,,,,3,,,6
26,Research Methods in HHD,HDFS,371,4,,,3,,,6
27,Fundamentals of Tourism Management,HTR,230,3,,,3,,,6
28,Nutrition and Society,NUTR,351,8,,,3,,,6
29,University Core or Directed Elective,ELEC,,,,,3,,,6
30,Integrated Marketing Communication,BMKT,343,22,,,3,,,7
31,Integrative Hospitality Simulation,HTR,475,27,,,3,,,7
32,Hospitality Management Internship II,HTR,498,,,,3,,,7
33,Food Service System Management,NUTR,322,18;19,,,3,,,7
34,University Core or Directed Elective,ELEC,,,,,3,,,7
35,Human Resource Management,BMGT,329,21;25,,,3,,,8
36,Capstone: Hospitality Management Systems and Strategy,HTR,499,,,,3,,,8
37,Pract: Quant Foods Prod & Mgmt,NUTR,395,33,,,3,,,8
38,Sustainable Food Systems,SFBS,451R,8,,,3,,,8
39,University Core or Directed Electives,ELEC,,,,,3,,,8
Additional Courses,,,,,,,,,,
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Term
