Curriculum,American Studies,,,,,,,,,
Degree Plan,American Studies,,,,,,,,,
Institution,Montana State University,,,,,,,,,
Degree Type,BA,,,,,,,,,
System Type,semester,,,,,,,,,
CIP,24.0101,,,,,,,,,
Courses,,,,,,,,,,
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Term
1,Introduction to American Studies,AMST,101D,,,,3,,,1
2,Introduction to Native American Studies,NASX,105D,,,,3,,,1
3,1 Year Foreign Language Courses,ELEC,,,,,6,,,1
4,Choose one HSTA course,ELEC,1xx,,,,4,,,1
5,CORE Elective College Writing (W) and Quantitative Reasoning (Q),CORE,W/Q,,,,6,,,1
6,Advisor Approved Electives Natural Sciences (IN or RN) and University Seminar (US),ELEC,,,,,9,,,1
7,Regional Literature,LIT,214D,,,,3,,,2
8,Introduction to American Government,PSCI,210IS,,,,3,,,2
9,"American Identity, American Dreams",AMST,201IH,,,,3,,,2
10,The Arts in America,AMST,202RA,5,,,3,,,2
11,CORE Elective Contemporary Issues in Science (CS) and Diversity (D),CORE,CS/D,,,,6,,,2
12,Advisor Approved Elective Social Sciences (IS or RS) and Humanities (IH or RH),ELEC,,,,,12,,,2
13,Choose one LIT course,ELEC,3xx,,,,3,,,3
14,Upper Division AMST Elective,ELEC,3xx,,,,3,,,3
15,"CORE Elective Research & Creative Experience (RA, RH,RN,or RS)",ELEC,,,,,6,,,3
16,Advisor Approved Elective,ELEC,,,,,18,,,3
17,Seminar in American Studies,AMST,401,9,,,4,,,4
18,CORE Elective,CORE,,,,,3,,,4
19,Advisor Approved Elective,ELEC,,,,,24,,,4
Additional Courses,,,,,,,,,,
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Term
