Curriculum,Chemistry - Teaching Option,,,,,,,,,
Degree Plan,Chemistry - Teaching Option,,,,,,,,,
Institution,Montana State University,,,,,,,,,
Degree Type,BS,,,,,,,,,
System Type,semester,,,,,,,,,
CIP,40.0501,,,,,,,,,
Courses,,,,,,,,,,
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Term
1,College Chemistry I,CHMY,141,,,,3,,,1
2,College Chemistry I Lab,CHMY,142,,,1,1,,,1
3,Seminar/Workshop,CHMY,194,,,,1,,,1
4,Precalculus,M,151Q,,,,4,,,1
5,Indiv and Fam Dev: Lifespan,HDFS,101IS,,,,3,,,1
6,University and Core Electives,ELEC,,,,,3,,,1
7,College Chemistry II,CHMY,143,1,,,3,,,2
8,College Chemistry II Lab,CHMY,144,,,7,1,,,2
9,Educ Psych and Adolescent Dev,EDU,223IS,,,,3,,,2
10,Survey of Calculus,M,161Q,,,,4,,,2
11,University Core and Electives,ELEC,,,,,3,,,2
12,Principles of Living Systems,BIOB,160,,,,4,,,3
13,Organic Chemistry I,CHMY,321,7,,,3,,,3
14,Organic Chemistry I Lab,CHMY,322,7,,13,1,,,3
15,Multicultural Education,EDU,211D,9,,,3,,,3
16,College Physics I,PHSX,205,,,,4,,,3
17,Seminar/Workshop,CHMY,294,3,,,1,,,4
18,Fundamental Analytical Chem,CHMY,311,,7,,4,,,4
19,Organic Chemistry II,CHMY,323,13,,,3,,,4
20,Organic Chemistry II Lab,CHMY,324,14,,19,1,,,4
21,College Physics II,PHSX,207,16,,,4,,,4
22,Integrating Tech into Educ,EDU,370,9,,,2,,,4
23,University and Core Electives,ELEC,,,,,3,,,4
24,Biochemistry of Macromolecules,BCH,441,12;19,,,3,,,5
25,Undergraduate Research,BCH,490R,,,,2,,,5
26,Elements of Physical Chemistry,CHMY,361,10;19;21,,,3,,,5
27,Elements of Physical Chemistry Lab,CHMY,362,,26,,1,,,5
28,Seminar/Workshop,CHMY,394,17,,,1,,,5
29,"Assessmt, Curric, Instructn",EDU,382,9,,,3,,,5
30,Undergraduate Research,BCH,490R,,,,2,,,6
31,Seminar/Workshop,CHMY,494,,28,,1,,,6
32,University Core and Electives,ELEC,,,,,5,,,6
33,Biochemical and Chemical Electives,ELEC,,,,,6,,,6
34,Chemical and Biochemical Electives,ELEC,,,,,3,,,7
35,Exceptional Learners,EDSP,306,9,,,3,,,7
36,University Core and Electives,ELEC,,,,,3,,,7
37,Professional Issues: K-12,EDU,408,,,,2,,,8
38,Student Teaching,EDU,495R,,,,12,,,8
Additional Courses,,,,,,,,,,
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Term
