Curriculum,Earth Science - Geology Option,,,,,,,,,
Degree Plan,Earth Science - Geology Option,,,,,,,,,
Institution,Montana State University,,,,,,,,,
Degree Type,BS,,,,,,,,,
System Type,semester,,,,,,,,,
CIP,40.0601,,,,,,,,,
Courses,,,,,,,,,,
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Term
1,College Chemistry I,CHMY,141,,,,3,,,1
2,College Chemistry I Lab,CHMY,142,,,1,1,,,1
3,College Chemistry II,CHMY,143,1,,,3,,,1
4,College Chemistry II Lab,CHMY,144,,,3,1,,,1
5,Earth System Sciences,ERTH,101IN,,,,4,,,1
6,Earth History and Evolution,GEO,211,5,,,3,,,1
7,Calculus I,M,171Q,,,,4,,,1
8,Calculus II,M,172Q,7,,,4,,,1
9,University Core and Electives,ELEC,,,,,4,,,1
10,Intro to GIS Science & Cartog,GPHY,284,,,,3,,,2
11,College Physics I,PHSX,205,,,,4,,,2
12,College Physics II,PHSX,207,11,,,4,,,2
13,University Core and Electives,ELEC,,,,,9,,,2
14,Mineralogy and Optical Mineral,GEO,302,3;5,,,4,,,2
15,Sedimentation and Stratigraphy,GEO,309,6;8,,,4,,,2
16,Igneous & Metamorphic Petrology,GEO,305,14,,,3,,,2
17,Structural Geology,GEO,315,6,,,4,,,3
18,Statistics for Scientists and Engineers,STAT,332,8,,,3,,,3
19,University Core and Electives,ELEC,,,,,8,,,3
20,Field Methods,GEO,428,6;10,,,3,,,3
21,Adv GIS and Spatial Analysis,GPHY,384,10,,,3,,,3
22,Field Geology,GEO,429R,14;15;17;20,,,3,,,4
23,Choose one ERTH course,ERTH,3xx,,,,3,,,4
24,Choose one ERTH course,ERTH,4xx,,,,3,,,4
25,Choose one GEO course,GEO,3xx,,,,3,,,4
26,Choose one GEO course,GEO,4xx,,,,3,,,4
27,Choose one GEO course,GEO,4xx,,,,3,,,4
28,Remote Sensing,GPHY,426,,,,3,,,4
29,University Core and Electives,ELEC,,,,,3,,,4
Additional Courses,,,,,,,,,,
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Term
