Curriculum,Earth Science - Geography Option (Physical Geography emphasis),,,,,,,,,
Degree Plan,Physical Geography emphasis,,,,,,,,,
Institution,Montana State University,,,,,,,,,
Degree Type,BS,,,,,,,,,
System Type,semester,,,,,,,,,
CIP,40.0601,,,,,,,,,
Courses,,,,,,,,,,
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Term
1,Earth System Sciences,ERTH,101IN,,,,4,,,1
2,Geography of World Regions,GPHY,141D,,,,3,,,1
3,University Core and Electives,ELEC,,,,,20,,,1
4,Human Geography,GPHY,121D,,,,3,,,2
5,Intro to GIS Science & Cartog,GPHY,284,,,,3,,,2
6,Introduction to Statistics,STAT,216Q,,,,3,,,2
7,Intermediate Statistical Concepts,STAT,217Q,6,,,3,,,2
8,One Year Modern Lang Minimum 6 cr,ELEC,,,,,6,,,2
9,University Core and Electives,ELEC,,,,,10,,,2
10,Adv GIS and Spatial Analysis,GPHY,384,5,,,3,,,3
11,Weather and Climate,ERTH,303,1,,,3,,,3
12,Geographic Thought (Capstone Course in Senior Year),GPHY,425,,,,3,,,3
13,GPHY Elective,GPHY,3xx,,,,3,,,3
14,GPHY Elective,GPHY,3xx,,,,3,,,3
15,GPHY Elective,GPHY,3xx,,,,3,,,3
16,GPHY Elective,GPHY,3xx,,,,3,,,3
17,GPHY Elective,GPHY,3xx,,,,3,,,3
18,Methods Elective,GPHY,4xx,7,,,3,,,3
19,Physical Geog lower division electives,ELEC,,,,,12,,,4
20,Physical Geog upper division electives,ELEC,,,,,9,,,4
21,University Core and Electives,ELEC,,,,,12,,,4
Additional Courses,,,,,,,,,,
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Term
