Curriculum,Earth Science - Paleontology option,,,,,,,,,
Degree Plan,Earth Science - Paleontology option,,,,,,,,,
Institution,Montana State University,,,,,,,,,
Degree Type,BS,,,,,,,,,
System Type,semester,,,,,,,,,
CIP,40.0601,,,,,,,,,
Courses,,,,,,,,,,
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Term
1,College Chemistry I,CHMY,141,,,,3,,,1
2,College Chemistry I Lab,CHMY,142,,,1,1,,,1
3,College Chemistry II,CHMY,143,1,,,3,,,1
4,College Chemistry II Lab,CHMY,144,,,3,1,,,1
5,Earth System Sciences,ERTH,101IN,,,,4,,,1
6,Earth History and Evolution,GEO,211,5,,,3,,,1
7,Calculus I,M,171Q,,,,4,,,1
8,Calculus II,M,172Q,7,,,4,,,1
9,University Core and Electives,ELEC,,,,,4,,,1
10,Principles of Biological Diversity,BIOB,170IN,,,,4,,,2
11,Intro to GIS Science & Cartog,GPHY,284,,,,3,,,2
12,College Physics I,PHSX,205,,,,4,,,2
13,College Physics II,PHSX,207,12,,,4,,,2
14,University Core and Electives,ELEC,,,,,9,,,2
15,Sedimentation and Stratigraphy,GEO,309,6;8,,,4,,,2
16,Field Paleontology (Summer between SO & JR Year),GEO,419,17,,,2,,,2
17,Mineralogy and Optical Mineral,GEO,302,3;5,,,4,,,2
18,Structural Geology,GEO,315,6,,,4,,,3
19,Statistics for Scientists and Engineers,STAT,332,8,,,3,,,3
20,Field Methods,GEO,428,6;11,,,3,,,3
21,Adv GIS and Spatial Analysis,GPHY,384,11,,,3,,,3
22,University Core and Electives,ELEC,,,,,8,,,3
23,Weather and Climate,ERTH,303,5,,,3,,,3
24,Field Geology,GEO,429R,6;15;17;18;20,,,3,,,4
25,Principles of Sedimentary Petrology,GEO,443,15;17,,,3,,,4
26,University Core and Electives,ELEC,,,,,21,,,4
Additional Courses,,,,,,,,,,
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Term
