Curriculum,Earth Science - Snow Science option,,,,,,,,,
Degree Plan,Earth Science - Snow Science option,,,,,,,,,
Institution,Montana State University,,,,,,,,,
Degree Type,BS,,,,,,,,,
System Type,semester,,,,,,,,,
CIP,40.0601,,,,,,,,,
Courses,,,,,,,,,,
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Term
1,Earth System Sciences,ERTH,101IN,,,,4,,,1
2,Geography of World Regions,GPHY,141D,,,,3,,,1
3,Calculus I,M,171Q,,,,4,,,1
4,Calculus II,M,172Q,3,,,4,,,1
5,University Core and Electives,ELEC,,,,,12,,,1
6,Avalanche 1 Training (Or equivalent),ACT,160,,,,1,,,1
7,College Chemistry I,CHMY,141,,,,3,,,2
8,College Chemistry I Lab,CHMY,142,,,7,1,,,2
9,College Chemistry II,CHMY,143,1,,,3,,,2
10,College Chemistry II Lab,CHMY,144,,,9,1,,,2
11,College Physics I,PHSX,205,,,,4,,,2
12,College Physics II,PHSX,207,11,,,4,,,2
13,Weather and Climate,ERTH,303,1,,,3,,,2
14,Human Geography,GPHY,121D,,,,3,,,2
15,Intro to GIS Science & Cartog,GPHY,284,,,,3,,,2
16,University Core and Electives,ELEC,,,,,5,,,2
17,Principles of Geomorphology,ERTH,307,1;15,,,4,,,3
18,Adv GIS and Spatial Analysis,GPHY,384,15,,,3,,,3
19,Environment and Society,GPHY,329,,,,3,,,3
20,Statistics for Scientists and Engineers,STAT,332,4,,,3,,,3
21,Choose one ERTH course,ERTH,4xx,,,,3,,,3
22,Choose one GPHY course,GPHY,3xx,,,,3,,,3
23,Choose one GPHY course,GPHY,4xx,,,,3,,,3
24,Choose one ENSC course,ENSC,4xx,,,,3,,,3
25,Choose one STAT course,STAT,4xx,,,,3,,,3
26,Choose one STAT course,STAT,4xx,,,,3,,,3
27,Snow Dynamics and Accumulation,ERTH,450R,1;6;11;20,,,4,,,4
28,Mountain Geography,GPHY,441R,1;13;20,,,4,,,4
29,Glacial Geology,GEO,445,17,,,3,,,4
30,Choose one ERTH course,ERTH,4xx,,,,3,,,4
31,Choose one GPHY course,GPHY,3xx,,,,3,,,4
32,Choose one GPHY course,GPHY,4xx,,,,3,,,4
33,Choose one ENSC course,ENSC,4xx,,,,3,,,4
34,Choose one STAT course,STAT,4xx,20,,,3,,,4
35,Methods for Data Analysis I,STAT,411,20,,,3,,,4
Additional Courses,,,,,,,,,,
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Term
