Curriculum,Biological Sciences - Conservation Biology and Ecology Option,,,,,,,,,
Degree Plan,Biological Sciences - Conservation Biology and Ecology Option,,,,,,,,,
Institution,Montana State University,,,,,,,,,
Degree Type,BS,,,,,,,,,
System Type,semester,,,,,,,,,
CIP,26.0101,,,,,,,,,
Courses,,,,,,,,,,
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Term
1,Environmental Science and Society,BIOE,103CS,,,,3,,,1
2,Principles of Biological Diversity,BIOB,170IN,,,,4,,,1
3,College Chemistry I,CHMY,141,,,,3,,,1
4,College Chemistry I Lab,CHMY,142,,,3,1,,,1
5,Introduction to Public Speaking,COMX,111US,,,,3,,,1
6,University Core or Electives,ELEC,,,,,3,,,1
7,College Physics I,PHSX,205,,,,4,,,2
8,Survey of Calculus,M,161Q,,,,4,,,2
9,College Writing I,WRIT,101W,,,,3,,,2
10,Principles of Living Systems,BIOB,160,,,,4,,,2
11,University CORE or Additional Electives,ELEC,,,,,3,,,2
12,Introduction to Statistics,STAT,216Q,,,,3,,,3
13,College Chemistry II,CHMY,143,3,,,3,,,3
14,College Chemistry II Lab,CHMY,144,4,,13,1,,,3
15,Land Resourses and Environmental Sciences,ENSC,110,,,,3,,,3
16,College Writing II,WRIT,201,9,,,3,,,3
17,Economic Way of Thinking,ECNS,101IS,,,,3,,,3
18,General Genetics,BIOB,375,10,,,3,,,4
19,Elements of Organic Chemistry,CHMY,211,13,,,4,,,4
20,Elements of Organic Chemistry lab,CHMY,212,,,19,1,,,4
21,Earth System Sciences,ERTH,101IN,,,,4,,,4
22,Intermediate Statistical Concepts,STAT,217Q,12,,,3,,,4
23,Soils,ENSC,245IN,,,,3,,,5
24,Methods for Data Analysis I,STAT,411,22,,,3,,,5
25,"Animal Physiology (3, Fall only)",BIOO,412,3;10,,,3,,,5
26,Social Sciences Elective,ELEC,,,,,3,,,5
27,University CORE and Additional Electives,ELEC,,,,,3,,,5
28,General Ecology,BIOE,370,2,,,3,,,6
29,Evolution,BIOB,420,18,,,3,,,6
30,Social Sciences Elective,ELEC,,,,,3,,,6
31,University CORE or Additional Electives,ELEC,,,,,3,,,6
32,Conservation Biology,BIOE,440R,22;28,,,3,,,7
33,Choose one BIOE course,ELEC,,,,,3,,,7
34,Choose one BIOO course,ELEC,,,,,3,,,7
35,University CORE or Additional Electives,ELEC,,,,,3,,,7
36,Ecological Responses to Climate Change,BIOE,375,10;28,,,3,,,8
37,University CORE and Additional Electives,ELEC,,,,,12,,,8
Additional Courses,,,,,,,,,,
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Term
