Curriculum,Biological Sciences - Biology Teaching,,,,,,,,,
Degree Plan,Biological Sciences - Biology Teaching,,,,,,,,,
Institution,Montana State University,,,,,,,,,
Degree Type,BS,,,,,,,,,
System Type,semester,,,,,,,,,
CIP,26.0101,,,,,,,,,
Courses,,,,,,,,,,
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Term
1,Principles of Biological Diversity,BIOB,170IN,,,,4,,,1
2,College Chemistry I,CHMY,141,,,,3,,,1
3,College Chemistry I Lab,CHMY,142,,,2,1,,,1
4,Survey of Calculus,M,161Q,,,,4,,,1
5,Teaching and Learning,EDU,101US,,,,3,,,1
6,Principles of Living Systems,BIOB,160,,,,4,,,2
7,College Chemistry II,CHMY,143,2,,,3,,,2
8,College Chemistry II Lab,CHMY,144,,,7,1,,,2
9,Indiv and Fam Dev: Lifespan,HDFS,101IS,,,,3,,,2
10,Educ Psych and Adolescent Dev,EDU,223IS,,,,3,,,2
11,University Core or Electives,ELEC,,,,,3,,,2
12,Elements of Organic Chemistry,CHMY,211,7,,,4,,,3
13,Elements of Organic Chemistry Lab,CHMY,212,8,,12,1,,,3
14,College Physics I,PHSX,205,,,,4,,,3
15,Integrating Tech into Educ,EDU,370,10,,,3,,,3
16,University Core or Electives,ELEC,,,,,3,,,3
17,Biochemistry,BCH,380,6;12,,,4,,,4
18,Biochemistry lab,BCH,381,,,17,1,,,4
19,Unseen Universe: Microbes,BIOM,103IN,,,,3,,,4
20,College Physics II,PHSX,207,14,,,4,,,4
21,Multicultural Education,EDU,211D,10,,,3,,,4
22,General Genetics,BIOB,375,6,,,3,,,5
23,Animal Physiology,BIOO,412,2;6,,,3,,,5
24,Biometry,BIOB,318,,,,3,,,5
25,Exceptional Learners,EDSP,306,10,,,3,,,5
26,University Core or Electives,ELEC,,,,,3,,,5
27,General Ecology,BIOE,370,1,,,3,,,6
28,Evolution,BIOB,420,22,,,3,,,6
29,Senior Thesis/Capstone,BIOE,499,,,,2,,,6
30,"Assessmt, Curric, Instructn",EDU,382,10,,,3,,,6
31,University Core or Electives,ELEC,,,,,6,,,6
32,Rocky Mountain Vegetation,BIOE,408,15,,,3,,,7
33,Methods: 5-12 Science,EDM,403,30,,,3,,,7
34,Practicum: 5-12/K-12,EDP,304,30,,,2,,,7
35,Practicum Lab: 5-12/K-12,EDP,305,30,,,1,,,7
36,Managing the Learning Environment for K-12/Secondary,EDU,347,10,,,2,,,7
37,Upper Division Biology Elective,ELEC,,,,,3,,,7
38,Student Teaching,EDU,495R,,,,12,,,8
Additional Courses,,,,,,,,,,
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Term
