Curriculum,"History - Science, the Environment, Technology, and Society Option",,,,,,,,,
Degree Plan,"History - Science, the Environment, Technology, and Society Option",,,,,,,,,
Institution,Montana State University,,,,,,,,,
Degree Type,BA,,,,,,,,,
System Type,semester,,,,,,,,,
CIP,54.0101,,,,,,,,,
Courses,,,,,,,,,,
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Term
1,Choose one HSTA course,HSTA,1xx,,,,4,,,1
2,Choose one HSTR course,HSTR,1xx,,,,3,,,1
3,University Core and Electives,ELEC,,,,,19,,,1
4,"Religion, Conflict & Politics",HSTR,150D,,,,4,,,2
5,Sci and Tech in World History,HSTR,207CS,,,,3,,,2
6,SETS elective,ELEC,,,,,4,,,2
7,One Year Modern Language,,,,,,6,,,2
8,University Core and Electives,ELEC,,,,,11,,,2
9,Philosophy Elective,PHL,3xx,,,,3,,,3
10,SETS elective,,,,,,3,,,3
11,SETS elective,,,,,,3,,,3
12,University Core and Electives,ELEC,,,,,21,,,3
13,History elective,HSTA,3xx,1,,,3,,,4
14,History elective,HSTA,4xx,1,,,3,,,4
15,History elective,HSTR,3xx,1,,,3,,,4
16,History elective,HSTR,3xx,1,,,3,,,4
17,History elective,HSTR,4xx,1,,,3,,,4
18,History elective,HSTR,4xx,1,,,3,,,4
19,SETS elective,ELEC,,,,,3,,,4
20,Senior Capstpme,HSTR,499R,,,,3,,,4
21,University Core and Electives,ELEC,,,,,9,,,4
Additional Courses,,,,,,,,,,
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Term
