Curriculum,History - History Teaching Option,,,,,,,,,
Degree Plan,History - History Teaching Option,,,,,,,,,
Institution,Montana State University,,,,,,,,,
Degree Type,BA,,,,,,,,,
System Type,semester,,,,,,,,,
CIP,54.0101,,,,,,,,,
Courses,,,,,,,,,,
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Term
1,Indiv and Fam Dev: Lifespan,HDFS,101IS,,,,3,,,1
2,American History I,HSTA,101IH,,,,4,,,1
3,Introduction to the Am West,HSTA,160D,,,,4,,,1
4,Western Civilization I,HSTR,101IH,,,,4,,,1
5,Darwinian Revolution,HSTR,282CS,,,,3,,,1
6,Geography of World Regions,GPHY,141D,,,,3,,,1
7,University Core and Electives,ELEC,,,,,4,,,1
8,Educ Psych and Adolescent Dev,EDU,223IS,,,,3,,,1
9,Multicultural Education,EDU,211D,8,,,3,,,2
10,Integrating Tech into Educ,EDU,370,8,,,3,,,2
11,Choose one HSTR course,HSTR,1xx,,,,4,,,2
12,Choose one HSTR course,HSTR,2xx,,,,4,,,2
13,Choose one HSTA course,HSTA,3xx,2,,,3,,,2
14,University Core and Electives,ELEC,,,,,15,,,2
15,Exceptional Learners,EDSP,306,8,,,3,,,3
16,"Assessmt, Curric, Instructn",EDU,382,8,,,3,,,3
17,Managing the Learning Environment for K-12/Secondary,EDU,347,8,,,2,,,3
18,Choose one HSTR course,HSTR,3xx,4,,,3,,,3
19,Choose one HSTR course,HSTR,3xx,4,,,3,,,3
20,Choose one HSTR course,HSTR,4xx,4,,,3,,,3
21,University Core and Electives,ELEC,,,,,9,,,3
22,Sen Capstone: Hist Methodology,HSTR,499R,,,,3,,,3
23,Methods: 5-12 Social Studies,EDM,402,16,,,3,,,4
24,Practicum: 5-12/K-12,EDP,304,16,,,2,,,4
25,Practicum Lab: 5-12/K-12,EDP,305,16,,,1,,,4
26,Choose one HSTA course,HSTA,3xx,2,,,3,,,4
27,Choose one HSTA course,HSTA,4xx,2,,,3,,,4
28,Choose one HSTR course,HSTR,3xx,4,,,3,,,4
29,Choose one HSTR course,HSTR,4xx,4,,,3,,,4
30,University Core and Electives,ELEC,,,,,1,,,4
31,Student Teaching,EDU,495R,,,,12,,,4
Additional Courses,,,,,,,,,,
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Term
