Curriculum,Liberal Studies - Global and Multicultural Studies Option,,,,,,,,,
Degree Plan,Liberal Studies - Global and Multicultural Studies Option,,,,,,,,,
Institution,Montana State University,,,,,,,,,
Degree Type,BA,,,,,,,,,
System Type,semester,,,,,,,,,
CIP,24.0101,,,,,,,,,
Courses,,,,,,,,,,
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Term
1,Interdisciplinary Ways of Knowing,LS,101US,,,,3,,,1
2,College Writing I,WRIT,101W,,,,3,,,1
3,Modern Language,,,,,,3,,,1
4,University Core,CORE,,,,,3,,,1
5,Electives,ELEC,,,,,2,,,1
6,Modern Language,,,,,,3,,,2
7,University Core,CORE,,,,,9,,,2
8,Electives,ELEC,,,,,2,,,2
9,Modern Language,,,,,,3,,,3
10,Integrative Studies,,,,,,6,,,3
11,University Core,CORE,,,,,3,,,3
12,Electives,ELEC,,,,,3,,,3
13,Integrative Studies,,,,,,6,,,4
14,University Core,CORE,,,,,9,,,4
15,Integrative Seminar,LS,301,1,,,1,,,5
16,Global & Multicultural Electives,ELEC,,,,,6,,,5
17,Area Studies Electives,ELEC,,,,,6,,,5
18,Electives,ELEC,,,,,2,,,5
19,Global & Multicultural Electives,ELEC,,,,,9,,,6
20,Area Studies Electives,ELEC,,,,,3,,,6
21,Electives,ELEC,,,,,3,,,6
22,Integrative Seminar,LS,301,1,,,1,,,7
23,Global & Multicultural Electives,ELEC,,,,,6,,,7
24,Area Studies Electives,ELEC,,,,,3,,,7
25,Electives,ELEC,,,,,5,,,7
26,Undergraduate Research,LS,490R,,,,6,,,8
27,Global & Multicultural Electives,ELEC,,,,,6,,,8
28,Elective,ELEC,,,,,5,,,8
Additional Courses,,,,,,,,,,
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Term
