Curriculum,Mathematical Sciences - Applied Mathematics Option,,,,,,,,,
Degree Plan,Mathematical Sciences - Applied Mathematics Option,,,,,,,,,
Institution,Montana State University,,,,,,,,,
Degree Type,BS,,,,,,,,,
System Type,semester,,,,,,,,,
CIP,27.0101,,,,,,,,,
Courses,,,,,,,,,,
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Term
1,Knowledge and Community,CLS,101US,,,,3,,,1
2,Calculus I,M,171Q,,,,4,,,1
3,Physics I with Calculus,PHSX,220,,,,4,,,1
4,University Core and Electives,ELEC,,,,,4,,,1
5,College Writing I,WRIT,101W,,,,3,,,2
6,Calculus II,M,172Q,2,,,4,,,2
7,Physics II with Calculus,PHSX,222,2;3,6,,4,,,2
8,University Core and Electives,ELEC,,,,,4,,,2
9,Introduction to Linear Algebra,M,221,,,,3,,,3
10,Multivariable Calculus,M,273Q,6,,,4,,,3
11,University Core and Electives,ELEC,,,,,8,,,3
12,Introduction to Differential Equation,M,274,6,,,4,,,4
13,Methods of Proof,M,242,6,,,3,,,4
14,University Core and Electives,ELEC,,,,,8,,,4
15,Introduction to Analysis I,M,383,10;13,,,3,,,5
16,Math or Stat Electives,ELEC,M/STAT,,,,6,,,5
17,University Core and Electives,ELEC,,,,,6,,,5
18,Introduction to Analysis II,M,384,15,,,3,,,6
19,Software Applications in Mathematics,M,386R,9;10;12,,,3,,,6
20,Math or Stat Electives,ELEC,M/STAT,,,,3,,,6
21,University Core and Electives,ELEC,,,,,6,,,6
22,Numerical Linear Algebra & Optimization,M,441,9;10,,,3,,,7
23,Math or Stat Electives,ELEC,M/STAT,,,,3,,,7
24,University Core and Electives,ELEC,,,,,9,,,7
25,Math or Stat Electives,ELEC,M/STAT,,,,6,,,8
26,University Core and Electives,ELEC,,,,,9,,,8
Additional Courses,,,,,,,,,,
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Term
