Curriculum,Mathematical Sciences - Mathematics Teaching Option,,,,,,,,,
Degree Plan,Mathematical Sciences - Mathematics Teaching Option,,,,,,,,,
Institution,Montana State University,,,,,,,,,
Degree Type,BS,,,,,,,,,
System Type,semester,,,,,,,,,
CIP,27.0101,,,,,,,,,
Courses,,,,,,,,,,
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Term
1,Teaching and Learning,EDU,101US,,,,3,,,1
2,Indiv and Fam Dev: Lifespan,HDFS,101IS,,,,3,,,1
3,Calculus I,M,171Q,,,,4,,,1
4,University and Core Electives,ELEC,,,,,5,,,1
5,College Writing I,WRIT,101W,,,,3,,,2
6,Calculus II,M,172Q,3,,,4,,,2
7,College Physics I,PHSX,205,,,,4,,,2
8,University Core and Electives,ELEC,,,,,3,,,2
9,Educ Psych and Adolescent Dev,EDU,223IS,,,,3,,,3
10,Integrating Tech into Educ,EDU,370,9,,,3,,,3
11,Introduction to Linear Algebra,M,221,6,,,3,,,3
12,Multivariable Calculus,M,273Q,6,,,4,,,3
13,Introduction to Statistics,STAT,216Q,,,,3,,,3
14,Multicultural Education,EDU,211D,9,,,3,,,4
15,Methods of Proof,M,242,6,,,3,,,4
16,Introduction to Differential Equation,M,274,6,,,4,,,4
17,Intermediate Statistical Concepts,STAT,217Q,13,,,3,,,4
18,University Core and Electives,ELEC,,,,,3,,,4
19,"Assessmt, Curric, Instructn",EDU,382,9,,,3,,,5
20,Higher Math for Sec Teachers,M,328,15,,,3,,,5
21,Math/Stat (300+),ELEC,,,,,3,,,5
22,University Core and Electives,ELEC,,,,,6,,,5
23,Managing the Learning Environment for K-12/Secondary,EDU,347,9,,,2,,,5
24,Exceptional Learners,EDSP,306,9,,,3,,,6
25,Methods: 5-8 Mathematics,EDM,404R,15;19,,,3,,,6
26,Modern Geometry,M,329,15,,,3,,,6
27,Math/Stat(300+),ELEC,,,,,3,,,6
28,University Core and Electives,ELEC,,,,,3,,,6
29,Methods: 9-12 Mathematics,EDM,405,19,,,3,,,7
30,Practicum: 5-12/K-12,EDP,304,19,,,2,,,7
31,Practicum Lab: 5-12/K-12,EDP,305,19,,,1,,,7
32,Mathematical Modeling for Teachers,M,428,11;15;17,,,3,,,7
33,Math/Stat(300+),ELEC,,,,,3,,,7
34,University Core and Electives,ELEC,,,,,3,,,7
35,Student Teaching,EDU,495R,,,,12,,,8
Additional Courses,,,,,,,,,,
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Term
