Curriculum,Mathematical Sciences - Mathematics Option,,,,,,,,,
Degree Plan,Mathematical Sciences - Mathematics Option,,,,,,,,,
Institution,Montana State University,,,,,,,,,
Degree Type,BS,,,,,,,,,
System Type,semester,,,,,,,,,
CIP,27.0101,,,,,,,,,
Courses,,,,,,,,,,
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Term
1,Knowledge and Community,CLS,101US,,,,3,,,1
2,Calculus I,M,171Q,,,,4,,,1
3,Physics I with Calculus,PHSX,220,,2,,4,,,1
4,University and Core Electives,ELEC,,,,,4,,,1
5,College Writing I,WRIT,101W,,,,3,,,2
6,Calculus II,M,172Q,2,,,4,,,2
7,Physics II with Calculus,PHSX,222,3,6,,4,,,2
8,University Core and Electives,ELEC,,,,,4,,,2
9,Methods of Proof,M,242,6,,,3,,,3
10,Multivariable Calculus,M,273Q,6,,,4,,,3
11,University Core and Electives,ELEC,,,,,8,,,3
12,Introduction to Linear Algebra,M,221,6,,,3,,,4
13,Introduction to Differential Equation,M,274,6,,,4,,,4
14,Math or Stat Elective,ELEC,M/STAT,,,,3,,,4
15,University Core and Electives,ELEC,,,,,4,,,4
16,Linear Algebra,M,333,9;12,,,3,,,5
17,Introduction to Analysis I,M,383,9;10,,,3,,,5
18,Math or Stat Electives,ELEC,M/STAT,,,,3,,,5
19,University Core and Electives,ELEC,,,,,6,,,5
20,Introduction to Analysis II,M,384,17,,,3,,,6
21,Math or Stat Electives,ELEC,M/STAT,,,,3,,,6
22,University Core and Electives,ELEC,,,,,9,,,6
23,Math or Stat Electives,ELEC,M/STAT,,,,6,,,7
24,University Core and Electives,ELEC,,,,,9,,,7
25,Abstract Algebra I,M,431,16,,,3,,,8
26,Math or Stat Electives,ELEC,M/STAT,,,,3,,,8
27,University Core and Electives,ELEC,,,,,10,,,8
Additional Courses,,,,,,,,,,
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Term
