Curriculum,Mathematical Sciences - Statistics Option,,,,,,,,,
Degree Plan,Mathematical Sciences - Statistics Option,,,,,,,,,
Institution,Montana State University,,,,,,,,,
Degree Type,BS,,,,,,,,,
System Type,semester,,,,,,,,,
CIP,27.0501,,,,,,,,,
Courses,,,,,,,,,,
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Term
1,Knowledge and Community,CLS,101US,,,,3,,,1
2,Calculus I,M,171Q,,,,4,,,1
3,University Core and Electives,ELEC,,,,,8,,,1
4,College Writing I,WRIT,101W,,,,3,,,2
5,Calculus II,M,172Q,2,,,4,,,2
6,University Core and Electives,ELEC,,,,,9,,,2
7,Multivariable Calculus,M,273Q,5,,,4,,,3
8,Methods of Proof,M,242,5,,,3,,,3
9,Intermediate Statistical Concepts,STAT,332,5,,,3,,,3
10,Science Electives,ELEC,,,,,4,,,3
11,Introduction to Linear Algebra,M,221,5,,,3,,,4
12,Statistical Computing and Graphical Analysis,STAT,408,9,,,3,,,4
13,Science Electives ,ELEC,,,,,3,,,4
14,University Core and Electives,ELEC,,,,,6,,,4
15,Linear Algebra,M,333,8;11,,,3,,,5
16,Methods for Data Analysis I,STAT,411,9,,,3,,,5
17,Sampling,STAT,446,9,,,3,,,5
18,Science Electives,ELEC,,,,,3,,,5
19,University Core and Electives,ELEC,,,,,3,,,5
20,Methods for Data Analysis II,STAT,412,16,,,3,,,6
21,Experimental Design,STAT,441,11;16,,,3,,,6
22,Science Electives,ELEC,,,,,3,,,6
23,University Core and Electives,ELEC,,,,,6,,,6
24,Probability Theory,STAT,421,7;8,,,3,,,7
25,Math or Stat Electives,ELEC,,,,,6,,,7
26,University Core and Electives,ELEC,,,,,6,,,7
27,Mathematical Statistics,STAT,422,24,,,3,,,8
28,Math or Stat Electives,ELEC,,,,,6,,,8
29,University Core and Electives,ELEC,,,,,6,,,8
Additional Courses,,,,,,,,,,
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Term
