Curriculum,Modern Languages - French K-12 Teaching Option,,,,,,,,,
Degree Plan,Modern Languages - French K-12 Teaching Option,,,,,,,,,
Institution,Montana State University,,,,,,,,,
Degree Type,BA,,,,,,,,,
System Type,semester,,,,,,,,,
CIP,16.0101,,,,,,,,,
Courses,,,,,,,,,,
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Term
1,Elementary French I,FRCH,101,,,,3,,,1
2,Elementary French II,FRCH,102D,1,,,3,,,1
3,Indiv and Fam Dev: Lifespan,HDFS,101IS,,,,3,,,1
4,Educ Psych and Adolescent Dev,EDU,223IS,,,,3,,,1
5,University Core and Electives 15,ELEC,,,,,18,,,1
6,Intermediate French I,FRCH,201D,2,,,3,,,2
7,Intermediate French II,FRCH,202D,6,,,3,,,2
8,Multicultural Education,EDU,211D,4,,,3,,,2
9,Integrating Tech into Educ,EDU,370,4,,,3,,,2
10,University Core and Electives,ELEC,,,,,18,,,2
11,University and/or Core Electives,ELEC,,,,,2,,,3
12,French Oral and Written Expression,FRCH,301,7,,,3,,,3
13,Choose one FRCH course,FRCH,,,,,3,,,3
14,Choose one FRCH course,FRCH,,,,,3,,,3
15,Choose one FRCH course,FRCH,,,,,3,,,3
16,Choose one FRCH course,FRCH,,,,,3,,,3
17,Choose one FRCH course,FRCH,,,,,3,,,3
18,Exceptional Learners,EDSP,306,4,,,3,,,3
19,"Assessmt, Curric, Instructn",EDU,382,4,,,3,,,3
20,Managing the Learning Environment for K-12/Secondary,EDU,347,4,,,2,,,3
21,FRCH 401 or 402,FRCH,402,7,,,3,,,4
22,Choose one FRCH course,FRCH,,,,,3,,,4
23,Choose one FRCH course,FRCH,,,,,4,,,4
24,Practicum: 5-12/K-12,EDP,304,19,,,2,,,4
25,Practicum Lab: 5-12/K-12,EDP,305,19,,,1,,,4
26,Methods: K-12 Modern Language,EDM,410,19,,,4,,,4
27,Undergraduate Research,FRCH,490R,21,,,3,,,4
28,Student Teaching,EDU,495R,18;20;24;25;26,,,12,,,4
Additional Courses,,,,,,,,,,
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Term
