Curriculum,Modern Languages - German K-12 Teaching Option,,,,,,,,,
Degree Plan,Modern Languages - German K-12 Teaching Option,,,,,,,,,
Institution,Montana State University,,,,,,,,,
Degree Type,BA,,,,,,,,,
System Type,semester,,,,,,,,,
CIP,,,,,,,,,,
Courses,,,,,,,,,,
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Term
1,Elementary German I,GRMN,101,,,,3,,,1
2,Elementary German II,GRMN,102D,1,,,3,,,1
3,Indiv and Fam Dev: Lifespan,HDFS,101IS,,,,3,,,1
4,Educ Psych and Adolescent Dev,EDU,223IS,,,,3,,,1
5,University Core and Electives (EDU 101US recommended),ELEC,,,,,18,,,1
6,Intermediate German I,GRMN,201D,2,,,3,,,2
7,Intermediate German II,GRMN,202D,6,,,3,,,2
8,Multicultural Education,EDU,211D,4,,,3,,,2
9,Integrating Tech into Educ,EDU,370,4,,,3,,,2
10,University Core and Electives,ELEC,,,,,18,,,2
11,University Core and Electives,ELEC,,,,,3,,,3
12,Choose one GRMN course,GRMN,,7,,,3,,,3
13,Choose one GRMN course,GRMN,,,,,3,,,3
14,Choose one GRMN course,GRMN,,,,,3,,,3
15,Choose one GRMN course,GRMN,,,,,3,,,3
16,Choose one GRMN course,GRMN,,,,,3,,,3
17,Choose one GRMN course,GRMN,,,,,3,,,3
18,Choose one GRMN course,GRMN,,,,,3,,,4
19,Choose one GRMN course,GRMN,,,,,3,,,4
20,Choose one GRMN course,GRMN,,,,,3,,,4
21,Exceptional Learners,EDSP,306,4,,,3,,,3
22,"Assessmt, Curric, Instructn",EDU,382,4,,,3,,,3
23,Practicum: 5-12/K-12,EDP,304,22,,,2,,,4
24,Practicum Lab: 5-12/K-12,EDP,305,22,,,1,,,4
25,Managing the Learning Environment for K-12/Secondary,EDU,347,4,,,2,,,3
26,Methods: K-12 Modern Language,EDM,410,22,,,4,,,4
27,Seminar: German Lit and Culture,GRMN,450R,12,,,3,,,4
28,Student Teaching2,EDU,495R,21;23;24;25;26,,,12,,,4
Additional Courses,,,,,,,,,,
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Term
