Curriculum,Modern Languages - Spanish K-12 Teaching Option,,,,,,,,,
Degree Plan,Modern Languages - Spanish K-12 Teaching Option,,,,,,,,,
Institution,Montana State University,,,,,,,,,
Degree Type,BA,,,,,,,,,
System Type,semester,,,,,,,,,
CIP,16.0101,,,,,,,,,
Courses,,,,,,,,,,
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Term
1,Elementary Spanish I,SPNS,101,,,,3,,,1
2,Elementary Spanish II,SPNS,102D,1,,,3,,,1
3,Indiv and Fam Dev: Lifespan,HDFS,101IS,,,,3,,,1
4,Educ Psych and Adolescent Dev,EDU,223IS,,,,3,,,1
5,University Core and Electives,ELEC,,,,,18,,,1
6,Intermediate Spanish I,SPNS,201D,2,,,3,,,2
7,Intermediate Spanish II,SPNS,202D,6,,,3,,,2
8,Multicultural Education,EDU,211D,4,,,3,,,2
9,Integrating Tech into Educ,EDU,370,4,,,3,,,2
10,University Core and Electives,ELEC,,,,,18,,,2
11,University and Core electives.,ELEC,,,,,3,,,3
12,Take one SPNS course,SPNS,,7,,,3,,,3
13,Take one SPNS course,SPNS,,7,,,3,,,3
14,Take one SPNS course,SPNS,,7,,,3,,,3
15,Take one SPNS course,SPNS,,7,,,3,,,3
16,Take one SPNS course,SPNS,,7,,,3,,,3
17,Take one SPNS course,SPNS,,7,,,3,,,3
18,Take one SPNS course,SPNS,,7,,,3,,,4
19,Take one SPNS course,SPNS,,7,,,3,,,4
20,Take one SPNS course,SPNS,,7,,,3,,,4
21,Exceptional Learners,EDSP,306,4,,,3,,,3
22,"Assessmt, Curric, Instructn",EDU,382,4,,,3,,,3
23,Managing the Learning Environment for K-12/Secondary,EDU,347,4,,,2,,,3
24,Practicum: 5-12/K-12,EDP,304,22,,,2,,,4
25,Practicum Lab: 5-12/K-12,EDP,305,22,,,1,,,4
26,Methods: K-12 Modern Language,EDM,410,22,,,4,,,4
27,Seminar: Hispanic Literature,SPNS,470R,,,,3,,,4
28,Student Teaching,EDU,495R,21;23;24;25;26,,,12,,,4
Additional Courses,,,,,,,,,,
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Term
