Curriculum,Physics - Interdisciplinary Option,,,,,,,,,
Degree Plan,Physics - Interdisciplinary Option,,,,,,,,,
Institution,Montana State University,,,,,,,,,
Degree Type,BS,,,,,,,,,
System Type,semester,,,,,,,,,
CIP,40.0801,,,,,,,,,
Courses,,,,,,,,,,
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Term
1,Honors Gen & Mod Phys I,PHSX,240,,2,,4,,,1
2,Calculus I,M,171Q,,,,4,,,1
3,University Core and Electives,ELEC,,,,,7,,,1
4,Honors Gen & Mod Phys II,PHSX,242,1;2,5,,4,,,2
5,Calculus II,M,172Q,2,,,4,,,2
6,"Biol, Chem, or Earth Science Electives",ELEC,,,,,4,,,2
7,University Core and Electives,ELEC,,,,,3,,,2
8,Research Programs in Physics,PHSX,200,,,,1,,,3
9,Physics III,PHSX,224,4;5,,,4,,,3
10,Multivariable Calculus,M,273Q,5,,,4,,,3
11,Laboratory Electronics I,PHSX,261,,,,3,,,3
12,Declared Area,ELEC,,,,,3,,,3
13,Laboratory Electronics II,PHSX,262,11,,,2,,,4
14,Introduction to Theoretical Physics,PHSX,301,4;10,15,,3,,,4
15,Introduction to Differential Equation,M,274,5,,,4,,,4
16,University Core and Electives,ELEC,,,,,6,,,4
17,Classical Mechanics,PHSX,320,1;14,,,3,,,5
18,Modern Physics,PHSX,343,15;14,,,3,,,5
19,Undergraduate Research,PHSX,490R,,,,1,,,5
20,Declared Area,ELEC,,,,,4,,,5
21,Math Electives,ELEC,,,,,4,,,5
22,Electricity and Magnetism I,PHSX,423,4;14,,,3,,,6
23,Declared Area,ELEC,,,,,5,,,6
24,Math Electives,ELEC,,,,,3,,,6
25,University Core and Electives,ELEC,,,,,4,,,6
26,Quantum Mechanics I,PHSX,461,17;18,,,3,,,7
27,Undergraduate Research,PHSX,490R,,,,1,,,7
28,Physics Electives,ELEC,,,,,3,,,7
29,Declared Area,ELEC,,,,,4,,,7
30,University Core and Electives,ELEC,,,,,4,,,7
31,Senior Capstone Seminar,PHSX,499R,27,,,1,,,8
32,Physics Electives,ELEC,,,,,3,,,8
33,University Core and Electives,ELEC,,,,,11,,,8
Additional Courses,,,,,,,,,,
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Term
