Curriculum,Political Science - Policy and Analysis Option,,,,,,,,,
Degree Plan,Political Science - Policy and Analysis Option,,,,,,,,,
Institution,Montana State University,,,,,,,,,
Degree Type,BA,,,,,,,,,
System Type,semester,,,,,,,,,
CIP,,,,,,,,,,
Courses,,,,,,,,,,
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Term
1,Scope and Methods of Political Science,PSCI,201,,,,3,,,1
2,Introduction to American Government,PSCI,210IS,,,,3,,,1
3,Introduction to Public Administration,PSCI,240,,,,3,,,1
4,Introduction to International Relations,PSCI,230D,,,,3,,,1
5,Introduction to Political Theory,PSCI,250,,,,3,,,1
6,Knowledge and Community,CLS,101US,,,,3,,,1
7,College Writing I,WRIT,101W,,,,3,,,1
8,Contemporary Mathematics ,M,105Q,,,,3,,,1
9,University Core,ELEC,,,,,6,,,1
10,University Core,ELEC,,,,,12,,,2
11,Upper division PSCI courses,PSCI,3xx,1;2;3;4;5,,,9,,,2
12,Electives/Internship - PSCI 498,ELEC,,,,,9,,,2
13,Upper division PSCI courses,PSCI,3xx,1;2;3;4;5,,,12,,,3
14,Research Methods,PSCI,390R,1;2;3;4;5,,,3,,,3
15,Electives/Internship - PSCI 498,ELEC,,,,,6,,,3
16,PSCI Electives and/or University CORE,ELEC,,,,,9,,,3
17,Electives/Internship - PSCI 498,ELEC,,,,,30,,,4
Additional Courses,,,,,,,,,,
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Term
