Curriculum,Business - Accounting Option,,,,,,,,,
Degree Plan,Business - Accounting Option,,,,,,,,,
Institution,Montana State University,,,,,,,,,
Degree Type,BS,,,,,,,,,
System Type,semester,,,,,,,,,
CIP,52.0101,,,,,,,,,
Courses,,,,,,,,,,
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Term
1,Business & Entrepreneurship Fundamentals,BGEN,104US,,,,3,,,1
2,Economic Way of Thinking,ECNS,101IS,,,,3,,,1
3,Electives and University Core,ELEC,,,,,9,,,1
4,Survey of Calculus,M,161Q,,,,4,,,2
5,Principles of Macroeconomics,ECNS,202,2,,,3,,,2
6,Electives and University Core,ELEC,,,,,9,,,2
7,Principles of Financial Acct,ACTG,201,4,,,3,,,3
8,Data Analytics I,BMIS,211,4,,,3,,,3
9,Microeconomics,ECNS,204IS,2,,,3,,,3
10,Introduction to Statistics,STAT,216Q,,,,3,,,3
11,Electives and University Core,ELEC,,,,,3,,,3
12,Principles of Managerial Accounting,ACTG,202,7,,,3,,,4
13,Principles of Accounting II,ACTG,223,7,,,3,,,4
14,Prof Business Communication,BMGT,205,1,,,3,,,4
15,Intermediate Statistical Concepts,STAT,217Q,10,,,3,,,4
16,Electives and University Core,ELEC,,,,,3,,,4
17,Intermediate Financial Accounting and Reporting I,ACTG,327,13,,,3,,,5
18,Management and Organization,BMGT,335,,,,3,,,5
19,Management Information Systems,BMIS,311,7;8,,,3,,,5
20,Business Finance,BFIN,322,4;7;9,,,3,,,5
21,Electives and University Core,ELEC,,,,,3,,,5
22,Inter Fin Acct & Reporting II,ACTG,328,17,23,,3,,,6
23,Acct Information Systems I,ACTG,321R,8;13,,,3,,,6
24,Operations Management,BMGT,322,13,,,3,,,6
25,Principles of Marketing,BMKT,325,2,,,3,,,6
26,Principles of Business Law,BGEN,361,,,,3,,,6
27,Federal Income Taxation,ACTG,401,13,,,3,,,7
28,Cost Management Accounting I,ACTG,410,12;17,,,3,,,7
29,Choose one ACTG course,ACTG,4xx,17,,,3,,,7
30,Electives and University Core,ELEC,,,,,6,,,7
31,Senior Thesis/Capstone: Strategy Seminar,BGEN,499,18;19;20;24;25;26,,,4,,,8
32,Auditing I,ACTG,411,22;23,,,3,,,8
33,Government and Nonprofit Accounting I,ACTG,415,,22,,3,,,8
34,Electives and University Core,ELEC,,,,,4,,,8
Additional Courses,,,,,,,,,,
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Term
