Curriculum,Business - Finance Option,,,,,,,,,
Degree Plan,Business - Finance Option,,,,,,,,,
Institution,Montana State University,,,,,,,,,
Degree Type,BS,,,,,,,,,
System Type,semester,,,,,,,,,
CIP,52.0101,,,,,,,,,
Courses,,,,,,,,,,
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Term
1,Business & Entrepreneurship Fundamentals,BGEN,104US,,,,3,,,1
2,Economic Way of Thinking,ECNS,101IS,,,,3,,,1
3,Electives and University Core,ELEC,,,,,9,,,1
4,Principles of Macroeconomics,ECNS,202,2,,,3,,,2
5,Survey of Calculus,M,161Q,,,,4,,,2
6,Electives and University Core,ELEC,,,,,9,,,2
7,Principles of Financial Acct,ACTG,201,4,,,3,,,3
8,Data Analytics I,BMIS,211,4,,,3,,,3
9,Introduction to Statistics,STAT,216Q,,,,3,,,3
10,Electives and University Core,ELEC,,,,,6,,,3
11,Principles of Accounting II,ACTG,223,7,,,3,,,4
12,Prof Business Communication,BMGT,205,1,,,3,,,4
13,Microeconomics,ECNS,204IS,2,,,3,,,4
14,Intermediate Statistical Concepts,STAT,217Q,9,,,3,,,4
15,Electives and University Core,ELEC,,,,,3,,,4
16,Management and Organization,BMGT,335,,,,3,,,5
17,Management Information Systems,BMIS,311,8;7,,,3,,,5
18,Business Finance,BFIN,322,5;7;13,,,3,,,5
19,Financial Markets & Institutions,BFIN,357,5;7;13,,,3,,,5
20,Intermediate Financial Accounting and Reporting I,ACTG,327,11,,,3,,,5
21,Operations Management,BMGT,322,5;8;9,,,3,,,6
22,Principles of Marketing,BMKT,325,2,,,3,,,6
23,Electives and University Core,ELEC,,,,,6,,,6
24,Financial Statement Analysis,ACTG,441,20,,,3,,,6
25,Principles of Business Law,BGEN,361,,,,3,,,7
26,Investments I,BFIN,420R,19;21,,,3,,,7
27,Corporate Finance,BFIN,435,19;21,,,3,,,7
28,Electives and University Core,ELEC,,,,,4,,,7
29,Derivative Securities and Risk Management,BFIN,460,19;21,,,3,,,8
30,Senior Thesis/Capstone: Strategy Seminar,BGEN,499,16;17;18;21;22;25,,,4,,,8
31,Electives and University Core,ELEC,,,,,3,,,8
32,Choose one BFIN course,BFIN,4xx,18,,,3,,,8
33,Choose one ECNS course,ECNS,3xx,13,,,3,,,8
Additional Courses,,,,,,,,,,
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Term
