Curriculum,Business - Management Option,,,,,,,,,
Degree Plan,Business - Management Option,,,,,,,,,
Institution,Montana State University,,,,,,,,,
Degree Type,BS,,,,,,,,,
System Type,semester,,,,,,,,,
CIP,52.0101,,,,,,,,,
Courses,,,,,,,,,,
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Term
1,Business & Entrepreneurship Fundamentals,BGEN,104US,,,,3,,,1
2,Economic Way of Thinking,ECNS,101IS,,,,3,,,1
3,Electives and University Core,ELEC,,,,,9,,,1
4,Survey of Calculus,M,161Q,,,,4,,,2
5,Principles of Macroeconomics,ECNS,202,2,,,3,,,2
6,Electives and University Core,ELEC,,,,,9,,,2
7,Principles of Financial Acct,ACTG,201,4,,,3,,,3
8,Prof Business Communication,BMGT,205,1,,,3,,,3
9,Introduction to Statistics,STAT,216Q,,,,3,,,3
10,Electives and University Core,ELEC,,,,,6,,,3
11,Principles of Managerial Accounting,ACTG,202,7,,,3,,,4
12,Data Analytics I,BMIS,211,,,,3,,,4
13,Microeconomics,ECNS,204IS,2,,,3,,,4
14,Intermediate Statistical Concepts,STAT,217Q,9,,,3,,,4
15,Electives and University Core,ELEC,,,,,3,,,4
16,Management and Organization,BMGT,335,,,,3,,,5
17,Management Information Systems,BMIS,311,7;12,,,3,,,5
18,Principles of Marketing,BMKT,325,2,,,3,,,5
19,Principles of Business Law,BGEN,361,,,,3,,,5
20,Electives and University Core,ELEC,,,,,3,,,5
21,Operations Management,BMGT,322,4;9;12,,,3,,,6
22,Business Finance,BFIN,322,4;7;13,,,3,,,6
23,Leading and Managing People,BMGT,366,16,,,3,,,6
24,Human Resource Management,BMGT,329,16;19,,,3,,,6
25,Electives and University Core,ELEC,,,,,3,,,6
26,Team and Process Facilitation,BMGT,466,16;23,,,3,,,7
27,Management Research Experience,BMGT,475R,16,,,3,,,7
28,Choose one BMGT course,BMGT,4xx,16,,,3,,,7
29,Choose one BMGT course,BMGT,4xx,16,,,3,,,7
30,Advisor Approved Electives,ELEC,,,,,3,,,7
31,Senior Thesis/Capstone: Strategy Seminar,BGEN,499,16;17;18;19;21;22,,,4,,,8
32,Advisor Approved Electives,ELEC,,,,,6,,,8
33,Electives and University Core,ELEC,,,,,4,,,8
Additional Courses,,,,,,,,,,
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Term
