Curriculum,Biological Engineering,,,,,,,,,
Degree Plan,BioE Calc-ready,,,,,,,,,
Institution,Montana State University,,,,,,,,,
Degree Type,BS,,,,,,,,,
System Type,semester,,,,,,,,,
CIP,14.0501,,,,,,,,,
Courses,,,,,,,,,,
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Term
1,Intro to Biological Engr,EBIO,100,,,,2,,,1
2,College Chemistry I,CHMY,141,,,,3,,,1
3,College Chemistry I Lab,CHMY,142,,,2,1,,,1
4,"Univ Core Electives (IA, IH, IS or D)",ELEC,,,,,3,,,1
5,Calculus I,M,171Q,,,,4,,,1
6,US or W Core course,CORE,US/W,,,,3,,,1
7,"Univ Core Electives (IA, IH, IS or D)",ELEC,,,,,3,,,2
8,Principles of Living Systems,BIOB,160,2,,,4,,,2
9,Intro to Engineer Comp Apps,EGEN,102,,,,3,,,2
10,College Chemistry II,CHMY,143,2,,,3,,,2
11,College Chemistry II Lab,CHMY,144,3,,10,1,,,2
12,Calculus II,M,172Q,5,,,4,,,2
13,Multivariable Calculus,M,273Q,12,,,4,,,3
14,Physics I with Calculus,PHSX,220,,,,4,,,3
15,Elements of Organic Chemistry,CHMY,211,10,,16,4,,,3
16,Elements of Organic Chemistry Lab,CHMY,212,11,,,1,,,3
17,Elementary Principles of Chemical and Biological Engineering,ECHM,201,2;5,,,4,,,3
18,Elem Princ of Biological Engineering,EBIO,216,12;17,,,3,,,4
19,Chemical Engineering Fluid Mechanics Operations,ECHM,321,13;17,20,,3,,,4
20,Introduction to Differential Equation,M,274,12,,,4,,,4
21,General Microbiology,BIOM,360,8,,,5,,,4
22,Biochemistry,BCH,380,8;15,,,4,,,5
23,Biochemistry Lab,BCH,381,,,22,1,,,5
24,"Univ Core Electives (IA, IH, IS or D)",ELEC,,,,,3,,,5
25,Applied Engineering Data Analysis,EGEN,350,12,,,2,,,5
26,Bioengineering Transport,EBIO,324,18;20,,,3,,,5
27,Biological Engineering Thermodynamics,EBIO,407,15;18;20,,,3,,,5
28,Bioprocess Engineering,EBIO,438,17;20,,,3,,,6
29,"Univ Core Electives (IA, IH, IS, or D)",ELEC,,,,,3,,,6
30,Downstream Processing,EBIO,439,19,28,,3,,,6
31,Multidisciplinary Engineering Design,EGEN,310R,,,,3,,,6
32,Materials Structures and Prop,EMAT,251,2,5,,3,,,6
33,Bioengineering Lab I,EBIO,442,25;26;28,,,3,,,7
34,Biological Engineer Design I,EBIO,411R,19;26;28,31,,3,,,7
35,Technical Elective,ELEC,,,,,3,,,7
36,Biomedical Materials Engineering,EMAT,464,19;32,,,3,,,7
37,Physics II with Calculus,PHSX,222,5;14,12,,4,,,7
38,Biological Engineer Design II,EBIO,412R,28,,,3,,,8
39,Bioengineering Lab II,EBIO,443,33,,,3,,,8
40,Technical Elective,ELEC,,,,,3,,,8
41,Chemical Engineering Process Dynamics and Control,ECHM,451,20;28,,,3,,,8
42,"Univ Core Electives (IA, IH, IS or D)",ELEC,,,,,3,,,8
Additional courses,,,,,,,,,,
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Term
