Curriculum,Civil Engineering,,,,,,,,,
Degree Plan,CivilE Calc-ready,,,,,,,,,
Institution,Montana State University,,,,,,,,,
Degree Type,BS,,,,,,,,,
System Type,semester,,,,,,,,,
CIP,14.0801,,,,,,,,,
Courses,,,,,,,,,,
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Term
1,Intro To Civil Engineering,ECIV,101,,,,1,,,1
2,College Chemistry I,CHMY,141,,,,3,,,1
3,College Chemistry I Lab,CHMY,142,,,2,1,,,1
4,Calculus I,M,171Q,,,,4,,,1
5,College Writing I,WRIT,101W,,,,3,,,1
6,Knowledge and Community,CLS,101US,,,,3,,,1
7,College Chemistry II,CHMY,143,2,,,3,,,2
8,College Chemistry II Lab,CHMY,144,,,7,1,,,2
9,Calculus II,M,172Q,4,,,4,,,2
10,Physics I with Calculus,PHSX,220,,,,4,,,2
11,Prof Business Communication,BMGT,205,5;6,,,3,,,2
12,Applied Analysis,ECIV,202,,,,1,,,2
13,Intro to Surveying for Engineers,SRVY,230,,,,3,,,3
14,Engineering Mechanics-Statics,EGEN,201,10,15,,3,,,3
15,Multivariable Calculus,M,273Q,9,,,4,,,3
16,Physics II with Calculus,PHSX,222,4;10,9,,4,,,3
17,Introduction to Drafting and Design,DDSN,131,,,,3,,,3
18,Engineering Mechanics -- Dynamics,EGEN,202,14;15,,,3,,,4
19,Mechanics of Materials,EGEN,205,14;15,,,3,,,4
20,Applied Engineering Data Analysis,EGEN,350,9,,,2,,,4
21,Introduction to Differential Equation,M,274,9,,,4,,,4
22,Civil Engineering Fluid Mechanics,ECIV,337,14,,,3,,,4
23,"University Core (IS, IH, IA/RA or D)",CORE,,,,,3,,,4
24,Structures I,ECIV,312,19,,,3,,,5
25,Water Resources Engineering,ECIV,333,20;22,,,4,,,5
26,Multidisciplinary Engineering Design,EGEN,310R,,,,3,,,5
27,Principles of Living Systems,BIOB,160,,,,3,,,5
28,"University Core (IS, IH, IA/RA or D)",CORE,,,,,3,,,5
29,Construction Practice,ECIV,308,11;17,,,3,,,6
30,Structures II,ECIV,315,24,,,3,,,6
31,Geotechnical Engineering,ECIV,320,19,,,3,,,6
32,Transportation Engineering,ECIV,350,,,,3,,,6
33,Principles of Environmental Engineering,EENV,340,7,22,,3,,,6
34,Materials Structures and Prop,EMAT,251,2,4,,3,,,6
35,Civil Engineering Design I,ECIV,489R,29;31;32,36,43,2,,,7
36,Business Fundamentals for Technical Professionals,EGEN,330,4,,,3,,,7
37,Professional Electives,ELEC,,,,,6,,,7
38,"University Core (IS, IH, IA/RA or D)",CORE,,,,,3,,,7
39,Capstone: Civil Eng Design II,ECIV,499R,35,,,2,,,8
40,Fundamentals of Engineering Exam,EGEN,488,,,,0,,,8
41,Professional Electives,ELEC,,,,,9,,,8
42,"University Core (IS, IH, IA/RA or D)",CORE,,,,,3,,,8
Additional Courses,,,,,,,,,,
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Term
43,Civil Eng Practice and Ethics,ECIV,401,,,,3,,,7
