Curriculum,Construction Engineering Technology,,,,,,,,,
Degree Plan,ConstrE Technology pre-calc-ready,,,,,,,,,
Institution,Montana State University,,,,,,,,,
Degree Type,BS,,,,,,,,,
System Type,semester,,,,,,,,,
CIP,15.1001,,,,,,,,,
Courses,,,,,,,,,,
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Term
1,Introduction to General Chemistry,CHMY,121IN,,,,3,,,1
2,Introduction to General Chemistry Lab,CHMY,122IN,,,1,1,,,1
3,Intro To Civil Engineering,ECIV,101,,,,1,,,1
4,Economic Way of Thinking,ECNS,101IS,,,,3,,,1
5,Calculus for Technology I,M,165Q,,,,3,,,1
6,University Seminar,,US,,,,3,,,1
7,Introduction to Drafting and Design,DDSN,131,,,,3,,,2
8,Principles of Macroeconomics,ECNS,202,4,,,3,,,2
9,Calculus for Technology II,M,166Q,5,,,3,,,2
10,College Physics I,PHSX,205,,,,4,,,2
11,College Writing I,WRIT,101W,,,,3,,,2
12,Prof Business Communication,BMGT,205,,,,3,,,3
13,Applied Mechanics,EGEN,203,10,9,,3,,,3
14,Materials Structures and Prop,EMAT,251,1,5,,3,,,3
15,Appld Analysis for Const Tech,ETCC,204,5,,,1,,,3
16,College Physics II,PHSX,207,10,,,4,,,3
17,Intro to Surveying for Engineers,SRVY,230,5,,,3,,,3
18,Applied Strength of Materials,EGEN,208,9;13,,,3,,,4
19,Building Materials and Systems,ETCC,243,,,,3,,,4
20,Route Surveying,SRVY,273,17,,,3,,,4
21,Earth System Sciences,ERTH,101IN,,,,4,,,4
22,Principles of Financial Acct,ACTG,201,,,,3,,,4
23,Construction Practice,ECIV,308,7;12,,,3,,,5
24,Applied Mechanics of Fluids,EGEN,331,18,,,3,,,5
25,Soils and Foundations,ETCC,302,13,,,3,,,5
26,Introduction to Statistics,STAT,216Q,,,,3,,,5
27,Tech Prof. Electives,ELEC,,,,,2,,,5
28,"University Core (IH, IA/RA or D)",CORE,"IH, IA/RA or D",,,,3,,,5
29,Construction Estimating and Bidding,ECIV,307,15;23,,,3,,,6
30,Building Information Modeling in Construction,ECIV,309,7,,,3,,,6
31,Multidisciplinary Engineering Design,EGEN,310R,,,,3,,,6
32,Business Fundamentals for Technical Professionals,EGEN,330,5,,,3,,,6
33,Concrete Technology,ETCC,310,13,,,3,,,6
34,Internship,ETCC,498,,,,2,,,6
35,Principles of Business Law,BGEN,361,,,,3,,,7
36,Construction Project Documentation,ECIV,311,23,,,2,,,7
37,Construction Project Planning and Scheduling,ECIV,405,23,,,3,,,7
38,Electric Power Applications,EELE,354,9;16,,,3,,,7
39,Structural Elements,ETCC,412,18,33,,3,,,7
40,Building Systems,ETME,425,16,,,3,,,7
41,Heavy Const Equip and Methods,ECIV,404,25;32,,,3,,,8
42,Capstone: Const Engin Tech,ETCC,499R,30;31;36,,,2,,,8
43,Tech. Prof. Electives,ELEC,,,,,3,,,8
44,"University Core (IH, IA/RA or D)",CORE,"IH, IA/RA or D",,,,6,,,8
Additional course,,,,,,,,,,
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Term
