Curriculum,Computer Science Bachelor of Arts,,,,,,,,,
Degree Plan,CS BA precalc-ready,,,,,,,,,
Institution,Montana State University,,,,,,,,,
Degree Type,BA,,,,,,,,,
System Type,semester,,,,,,,,,
CIP,11.0701,,,,,,,,,
Courses,,,,,,,,,,
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Term
1,Joy and Beauty of Computing,CSCI,107,,,,3,,,1
2,Introduction to Statistics,STAT,216Q,,,,3,,,1
3,College Writing I,WRIT,101W,,,,3,,,1
4,University Core,ELEC,,,,,3,,,1
5,Broadening Electives,ELEC,,,,,3,,,1
6,Joy and Beauty of Data,CSCI,127,,,,4,,,2
7,Intermediate Statistical Concepts,STAT,217Q,2,,,3,,,2
8,University Core,CORE,US,,,,3,,,2
9,University Core and Electives,ELEC,,,,,6,,,2
10,Basic Data Structures and Algorithms,CSCI,132,6,,,4,,,3
11,Calculus for Technology I,M,165Q,,,,3,,,3
12,University Core and Electives,ELEC,,,,,9,,,3
13,Data Structures and Algorithms,CSCI,232,10,,,4,,,4
14,Discrete Structures,CSCI,246,11,10,,3,,,4
15,Intermediate Tech Writing,WRIT,221,3,,,3,,,4
16,Broadening Electives,ELEC,,,,,6,,,4
17,Software Engineering,ESOF,322,13,,,3,,,5
18,CS Electives,ELEC,,,,,3,,,5
19,University Core and Electives,ELEC,,,,,9,,,5
20,CS Electives,ELEC,,,,,6,,,6
21,University Core and Electives,ELEC,,,,,9,,,6
22,CS Electives,ELEC,,,,,6,,,7
23,Broadening Electives,ELEC,,,,,8,,,7
24,Software Engineering Applications,ESOF,423,17,,,3,,,8
25,Program Assessment,CSCI,481,,,,0,,,8
26,CS Electives,ELEC,,,,,4,,,8
27,Broadening Electives,ELEC,,,,,6,,,8
Additional Courses,,,,,,,,,,
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Term
